"","row","column","n_celulas","n_amas","n_cels_infec","mean_ama_cel","n_cels_infec_percentual","composto","conc","pop","ama_noninf","corrected_ama","ama_per_cell"
"1","B",2,1393,1548,320,4.838,22.97,"x",0,"THP-1",1548,0,0
"2","C",2,2263,699,294,2.378,12.99,"x",1.5,"THP-1",699,0,0
"3","D",2,2037,401,213,1.883,10.46,"x",5,"THP-1",401,0,0
"4","E",2,1592,464,268,1.731,16.83,"x",15,"THP-1",464,0,0
"5","F",2,1212,758,384,1.974,31.68,"x",30,"THP-1",758,0,0
"6","G",2,553,237,135,1.756,24.41,"x",50,"THP-1",237,0,0
"7","G",3,531,1531,327,4.682,61.58,"SbIII",50,"REF",1548,0,0
"8","F",3,971,4342,667,6.51,68.69,"SbIII",35,"REF",758,3584,3.69104016477858
"9","E",3,1591,10618,1190,8.923,74.8,"SbIII",15,"REF",699,9919,6.23444374607165
"10","D",3,2101,12890,1472,8.757,70.06,"SbIII",5,"REF",464,12426,5.91432651118515
"11","C",3,1403,5769,859,6.716,61.23,"SbIII",1.5,"REF",401,5368,3.82608695652174
"12","B",3,2279,10299,1401,7.351,61.47,"SbIII",0,"REF",237,10062,4.41509433962264
"13","B",4,2211,19421,1659,11.71,75.03,"SbIII",0,"C6",1548,17873,8.08367254635911
"14","C",4,2068,18551,1560,11.89,75.44,"SbIII",1.5,"C6",758,17793,8.60396518375242
"15","D",4,1906,17732,1495,11.86,78.44,"SbIII",5,"C6",699,17033,8.93651626442812
"16","E",4,1511,14202,1216,11.68,80.48,"SbIII",15,"C6",464,13738,9.09199205823958
"17","F",4,799,5037,599,8.409,74.97,"SbIII",30,"C6",401,4636,5.80225281602003
"18","G",4,615,2674,410,6.522,66.67,"SbIII",50,"C6",237,2437,3.96260162601626
"19","G",5,517,1312,299,4.388,57.83,"SbIII",50,"C7",1548,0,0
"20","F",5,1187,5254,819,6.415,69,"SbIII",35,"C7",758,4496,3.787700084246
"21","E",5,1592,6450,1046,6.166,65.7,"SbIII",15,"C7",699,5751,3.61243718592965
"22","D",5,2043,10562,1339,7.888,65.54,"SbIII",5,"C7",464,10098,4.94273127753304
"23","C",5,2689,12176,1703,7.15,63.33,"SbIII",1.5,"C7",401,11775,4.37895128300483
"24","B",5,2145,9194,1329,6.918,61.96,"SbIII",0,"C7",237,8957,4.17575757575758
"25","B",6,619,7873,412,19.11,66.56,"SbIII",0,"C44",1548,6325,10.2180936995153
"26","C",6,2625,17701,1846,9.589,70.32,"SbIII",1.5,"C44",758,16943,6.45447619047619
