row,column,n_celulas,n_amas,n_cels_infec,mean_ama_cel,composto,conc,pop
B,2,1217,7434,896,6.108,SbIII,0,C67
C,2,1163,7303,807,6.279,SbIII,1.6,C67
D,2,613,2338,379,3.814,SbIII,3.2,C67
E,2,126,83,37,0.6587,SbIII,10,C67
F,2,156,112,64,0.7179,SbIII,35,C67
G,2,305,364,152,1.193,SbIII,100,C67
G,3,69,69,28,1,SbIII,100,C6
F,3,63,24,18,0.381,SbIII,35,C6
E,3,106,91,41,0.8585,SbIII,10,C6
D,3,413,1910,255,4.625,SbIII,3.2,C6
C,3,1556,7528,981,4.838,SbIII,1.6,C6
B,3,1287,4766,759,3.703,SbIII,0,C6
B,4,361,7,7,0.01939,SbIII,0,THP-1
C,4,432,9,7,0.02083,SbIII,1.6,THP-1
D,4,211,10,7,0.04739,SbIII,3.2,THP-1
E,4,71,2,2,0.02817,SbIII,10,THP-1
F,4,110,12,12,0.1091,SbIII,35,THP-1
G,4,198,19,16,0.09596,SbIII,100,THP-1
G,5,285,708,168,2.484,SbIII,100,REF
F,5,205,322,96,1.571,SbIII,35,REF
E,5,287,727,130,2.533,SbIII,10,REF
D,5,869,4148,591,4.773,SbIII,3.2,REF
C,5,1283,8468,901,6.6,SbIII,1.6,REF
B,5,1289,7472,863,5.797,SbIII,0,REF
B,6,1826,9046,1185,4.954,SbIII,0,C85
C,6,1849,13769,1354,7.447,SbIII,1.6,C85
D,6,465,1757,255,3.778,SbIII,3.2,C85
E,6,156,245,64,1.571,SbIII,10,C85
F,6,97,110,26,1.134,SbIII,35,C85
G,6,176,113,56,0.642,SbIII,100,C85
G,7,104,48,31,0.4615,SbIII,100,C73
F,7,71,48,19,0.6761,SbIII,35,C73
E,7,107,207,49,1.935,SbIII,10,C73
D,7,424,1753,279,4.134,SbIII,3.2,C73
C,7,1708,18340,1386,10.74,SbIII,1.6,C73
B,7,1658,8728,1161,5.264,SbIII,0,C73
B,8,1201,4738,746,3.945,SbIII,0,C76
C,8,1441,12680,1064,8.799,SbIII,1.6,C76
D,8,618,5473,441,8.856,SbIII,3.2,C76
E,8,437,3166,295,7.245,SbIII,10,C76
F,8,203,423,102,2.084,SbIII,35,C76
G,8,384,569,191,1.482,SbIII,100,C76
G,9,146,90,49,0.6164,SbIII,100,C58
F,9,57,29,16,0.5088,SbIII,35,C58
E,9,211,401,100,1.9,SbIII,10,C58
D,9,425,1919,251,4.515,SbIII,3.2,C58
C,9,1018,6502,711,6.387,SbIII,1.6,C58
B,9,833,4447,569,5.339,SbIII,0,C58
B,10,1545,6967,1018,4.509,SbIII,0,C7
C,10,1691,12410,1234,7.339,SbIII,1.6,C7
D,10,625,3714,402,5.942,SbIII,3.2,C7
E,10,259,832,148,3.212,SbIII,10,C7
F,10,55,51,17,0.9273,SbIII,35,C7
G,10,112,70,44,0.625,SbIII,100,C7
G,11,65,21,14,0.3231,SbIII,100,C44
F,11,79,80,28,1.013,SbIII,35,C44
E,11,96,274,53,2.854,SbIII,10,C44
D,11,94,334,53,3.553,SbIII,3.2,C44
C,11,1394,12837,1083,9.209,SbIII,1.6,C44
B,11,1168,7596,855,6.503,SbIII,0,C44
