row,column,n_celulas,n_amas,n_cels_infec,mean_ama_cel,composto,conc,pop
B,2,115,142,63,1.235,MILT,0,THP-1
C,2,147,153,68,1.041,MILT,1.25,THP-1
D,2,132,269,78,2.038,MILT,2.5,THP-1
E,2,100,46,30,0.46,MILT,5,THP-1
F,2,85,132,46,1.553,MILT,10,THP-1
G,2,63,63,33,1,MILT,20,THP-1
G,3,88,574,60,6.523,MILT,20,C76
F,3,208,1627,159,7.822,MILT,10,C76
E,3,217,1063,168,4.899,MILT,5,C76
D,3,214,1613,172,7.537,MILT,2.5,C76
C,3,241,3384,197,14.04,MILT,1.25,C76
B,3,386,7824,307,20.27,MILT,0,C76
B,4,348,5977,259,17.18,MILT,0,C44
C,4,193,1390,155,7.202,MILT,1.25,C44
D,4,292,2328,231,7.973,MILT,2.5,C44
E,4,136,433,99,3.184,MILT,5,C44
F,4,160,776,129,4.85,MILT,10,C44
G,4,61,180,42,2.951,MILT,20,C44
G,5,153,1134,135,7.412,MILT,20,C6
F,5,154,1879,129,12.2,MILT,10,C6
E,5,240,3695,210,15.4,MILT,5,C6
D,5,226,3584,195,15.86,MILT,2.5,C6
C,5,244,3337,213,13.68,MILT,1.25,C6
B,5,265,5568,236,21.01,MILT,0,C6
B,6,216,1409,153,6.523,MILT,0,C58
C,6,233,1223,171,5.249,MILT,1.25,C58
D,6,188,459,120,2.441,MILT,2.5,C58
E,6,217,534,135,2.461,MILT,5,C58
F,6,139,596,102,4.288,MILT,10,C58
G,6,75,156,43,2.08,MILT,20,C58
G,7,55,74,24,1.345,MILT,20,REF
F,7,170,483,104,2.841,MILT,10,REF
E,7,251,840,181,3.347,MILT,5,REF
D,7,261,1220,176,4.674,MILT,2.5,REF
C,7,280,1710,210,6.107,MILT,1.25,REF
B,7,321,4928,232,15.35,MILT,0,REF
B,8,361,4573,236,12.67,MILT,0,C67
C,8,192,1153,148,6.005,MILT,1.25,C67
D,8,198,541,125,2.732,MILT,2.5,C67
E,8,213,686,154,3.221,MILT,5,C67
F,8,118,364,82,3.085,MILT,10,C67
G,8,104,518,78,4.981,MILT,20,C67
G,9,92,311,70,3.38,MILT,20,C7
F,9,120,211,67,1.758,MILT,10,C7
E,9,182,568,121,3.121,MILT,5,C7
D,9,159,850,118,5.346,MILT,2.5,C7
C,9,160,984,116,6.15,MILT,1.25,C7
B,9,239,2512,183,10.51,MILT,0,C7
B,10,343,6896,252,20.1,MILT,0,C73
C,10,256,1431,196,5.59,MILT,1.25,C73
D,10,159,590,106,3.711,MILT,2.5,C73
E,10,162,444,111,2.741,MILT,5,C73
F,10,113,365,83,3.23,MILT,10,C73
G,10,51,108,35,2.118,MILT,20,C73
G,11,88,532,61,6.045,MILT,20,C85
F,11,120,612,76,5.1,MILT,10,C85
E,11,119,207,64,1.739,MILT,5,C85
D,11,84,254,60,3.024,MILT,2.5,C85
C,11,154,581,120,3.773,MILT,1.25,C85
B,11,219,3405,190,15.55,MILT,0,C85
