"Estimate","Std. Error","t-value","p-value","2.5 %","97.5 %","coef","pop"
0.960821657945827,0.150972569813003,6.36421344046749,2.02057413434609e-07,0.654922174866585,1.26672114102507,"Slope","REF"
0.284880319383029,0.0523940186315211,5.43726797111226,3.63036980653532e-06,0.178719953724034,0.391040685042024,"ED50","REF"
0.549464186708105,0.153478112883216,3.58008172231177,0.00187300022553312,0.229314453278372,0.869613920137839,"Slope","C7"
0.106662762937939,0.0607582676217322,1.7555267309792,0.0944749633807433,-0.0200767624401917,0.233402288316069,"ED50","C7"
0.733886968568203,0.261222710476953,2.80943018785862,0.0125939026294772,0.180119560351171,1.28765437678524,"Slope","C6"
0.287506225649077,0.15804484490188,1.8191433312967,0.0876540564107441,-0.0475338785730209,0.622546329871174,"ED50","C6"
0.644367175248728,0.150412409875348,4.28400273476594,0.000301508540022419,0.332430929329701,0.956303421167754,"Slope","C44"
0.0663067124589631,0.0324748302290937,2.04178780893395,0.0533431342373648,-0.00104196333790971,0.133655388255836,"ED50","C44"
0.737147004591476,0.241240929585218,3.05564651014612,0.00754910206432948,0.225739079574711,1.24855492960824,"Slope","C58"
0.196160063808359,0.10367774921981,1.89201699771159,0.0767289391930767,-0.0236269461740478,0.415947073790767,"ED50","C58"
0.509676987587127,0.150812795330611,3.37953412023042,0.00269994060124373,0.19691039305565,0.822443582118603,"Slope","C67"
0.0734594961079716,0.0532345485720088,1.37992146225501,0.181474701287269,-0.0369422004575463,0.183861192673489,"ED50","C67"
0.949160867284349,0.142133629249135,6.67794717055062,1.03067931832392e-06,0.654393761541113,1.24392797302759,"Slope","C73"
0.0951045997914119,0.0184764412299754,5.14734404789588,3.69012155798453e-05,0.0567868059338544,0.133422393648969,"ED50","C73"
0.611901655471217,0.142091837235549,4.30638147395371,0.0003122909505185,0.316405503533376,0.907397807409057,"Slope","C85"
0.0573716214570913,0.0296849072135217,1.93268656844439,0.066874126046649,-0.00436152256360502,0.119104765477788,"ED50","C85"
0.546226598502257,0.153961620100118,3.54781015000398,0.00144422352995656,0.230323448014089,0.862129748990424,"Slope","C76"
0.287221746876868,0.130529590184629,2.20043398949315,0.0365128436212314,0.0193971504323814,0.555046343321355,"ED50","C76"
0.601854702931119,0.321174570767972,1.87391766879926,0.090423779909269,-0.113766836467014,1.31747624232925,"Slope","C67p"
0.767349234270313,0.493743768558529,1.55414464573511,0.151201236290669,-0.332780439381065,1.86747890792169,"ED50","C67p"
-0.00205421041851744,0.00218753128136466,-0.939054191369531,0.369830619080335,-0.00692833385646136,0.00281991301942647,"Slope","C68"
0.180575157743813,NA,NA,NA,NA,NA,"ED50","C68"
