row,column,n_celulas,n_amas,n_cels_infec,mean_ama_cel,composto,conc,pop
B,2,1402,13975,979,9.968,SbIII,0,C7
C,2,1775,15992,1254,9.01,SbIII,10,C7
D,2,1134,15985,811,14.1,SbIII,25,C7
E,2,899,9828,653,10.93,SbIII,35,C7
F,2,506,1614,278,3.19,SbIII,65,C7
G,2,428,524,174,1.224,SbIII,100,C7
G,3,175,227,76,1.297,SbIII,100,C73
F,3,456,1430,258,3.136,SbIII,65,C73
E,3,817,4420,523,5.41,SbIII,35,C73
D,3,1023,4544,670,4.442,SbIII,25,C73
C,3,1516,9937,1002,6.555,SbIII,10,C73
B,3,1809,11435,1184,6.321,SbIII,0,C73
B,4,2024,11776,1234,5.818,SbIII,0,C76
C,4,2042,10733,1259,5.256,SbIII,10,C76
D,4,1594,12671,1092,7.949,SbIII,25,C76
E,4,816,5364,559,6.574,SbIII,35,C76
F,4,516,1677,315,3.25,SbIII,65,C76
G,4,394,542,185,1.376,SbIII,100,C76
G,5,271,345,130,1.273,SbIII,100,C44
F,5,482,1634,300,3.39,SbIII,65,C44
E,5,781,4242,566,5.431,SbIII,35,C44
D,5,1276,6685,920,5.239,SbIII,25,C44
C,5,1818,15177,1372,8.348,SbIII,10,C44
B,5,1922,11407,1305,5.935,SbIII,0,C44
B,6,1664,8190,984,4.922,SbIII,0,REF
C,6,1744,14512,1157,8.321,SbIII,10,REF
D,6,1205,4771,760,3.959,SbIII,25,REF
E,6,814,4057,553,4.984,SbIII,35,REF
F,6,567,2577,391,4.545,SbIII,65,REF
G,6,449,1247,249,2.777,SbIII,100,REF
G,7,659,1984,389,3.011,SbIII,100,C85
F,7,757,2804,527,3.704,SbIII,65,C85
E,7,660,3242,467,4.912,SbIII,35,C85
D,7,1539,7830,1025,5.088,SbIII,25,C85
C,7,1968,11484,1227,5.835,SbIII,10,C85
B,7,1825,9400,1120,5.151,SbIII,0,C85
B,8,1289,358,230,0.2777,SbIII,0,THP-1
C,8,1793,436,277,0.2432,SbIII,10,THP-1
D,8,717,437,225,0.6095,SbIII,25,THP-1
E,8,548,448,203,0.8175,SbIII,35,THP-1
F,8,487,188,109,0.386,SbIII,65,THP-1
G,8,425,225,117,0.5294,SbIII,100,THP-1
G,9,328,993,187,3.027,SbIII,100,C6
F,9,546,3517,392,6.441,SbIII,65,C6
E,9,577,4741,443,8.217,SbIII,35,C6
D,9,945,9165,695,9.698,SbIII,25,C6
C,9,1430,20995,1120,14.68,SbIII,10,C6
B,9,1297,15448,993,11.91,SbIII,0,C6
B,10,1533,8470,1042,5.525,SbIII,0,C67
C,10,1712,9444,1102,5.516,SbIII,10,C67
D,10,1133,4801,770,4.237,SbIII,25,C67
E,10,723,2834,475,3.92,SbIII,35,C67
F,10,698,4073,512,5.835,SbIII,65,C67
G,10,380,1122,240,2.953,SbIII,100,C67
G,11,349,1011,217,2.897,SbIII,100,C58
F,11,328,1062,222,3.238,SbIII,65,C58
E,11,545,1856,344,3.406,SbIII,35,C58
D,11,682,2142,393,3.141,SbIII,25,C58
C,11,1384,5378,819,3.886,SbIII,10,C58
B,11,1212,5907,794,4.874,SbIII,0,C58
