row,column,n_celulas,n_amas,n_cels_infec,mean_ama_cel,composto,conc,pop
B,2,1117,13426,953,12.02,SbIII,0,C67
C,2,990,11967,866,12.09,SbIII,10,C67
D,2,490,5024,411,10.25,SbIII,25,C67
E,2,104,269,64,2.587,SbIII,35,C67
F,2,114,209,64,1.833,SbIII,65,C67
G,2,207,457,126,2.208,SbIII,100,C67
G,3,50,58,22,1.16,SbIII,100,C6
F,3,46,46,19,1,SbIII,65,C6
E,3,88,269,52,3.057,SbIII,35,C6
D,3,354,3653,289,10.32,SbIII,25,C6
C,3,1258,14572,1053,11.58,SbIII,10,C6
B,3,1092,10331,865,9.461,SbIII,0,C6
B,4,327,333,128,1.018,SbIII,0,THP-1
C,4,386,386,156,1,SbIII,10,THP-1
D,4,191,267,106,1.398,SbIII,25,THP-1
E,4,42,36,20,0.8571,SbIII,35,THP-1
F,4,78,43,24,0.5513,SbIII,65,THP-1
G,4,125,81,40,0.648,SbIII,100,THP-1
G,5,173,789,124,4.561,SbIII,100,REF
F,5,137,706,95,5.153,SbIII,65,REF
E,5,242,2705,214,11.18,SbIII,35,REF
D,5,769,9281,662,12.07,SbIII,25,REF
C,5,1089,14754,955,13.55,SbIII,10,REF
B,5,1169,11233,953,9.609,SbIII,0,REF
B,6,1650,14409,1297,8.733,SbIII,0,C85
C,6,1588,19104,1306,12.03,SbIII,10,C85
D,6,407,3505,334,8.612,SbIII,25,C85
E,6,126,943,104,7.484,SbIII,35,C85
F,6,73,242,41,3.315,SbIII,65,C85
G,6,112,192,59,1.714,SbIII,100,C85
G,7,67,69,35,1.03,SbIII,100,C73
F,7,53,71,24,1.34,SbIII,65,C73
E,7,90,504,66,5.6,SbIII,35,C73
D,7,358,3255,307,9.092,SbIII,25,C73
C,7,1509,26124,1320,17.31,SbIII,10,C73
B,7,1249,16440,1067,13.16,SbIII,0,C73
B,8,1071,14366,921,13.41,SbIII,0,C76
C,8,1232,19412,1061,15.76,SbIII,10,C76
D,8,534,7937,439,14.86,SbIII,25,C76
E,8,373,5731,315,15.36,SbIII,35,C76
F,8,159,882,130,5.547,SbIII,65,C76
G,8,247,728,162,2.947,SbIII,100,C76
G,9,100,149,59,1.49,SbIII,100,C58
F,9,35,54,16,1.543,SbIII,65,C58
E,9,179,928,126,5.184,SbIII,35,C58
D,9,351,3231,275,9.205,SbIII,25,C58
C,9,878,10426,723,11.87,SbIII,10,C58
B,9,781,8083,645,10.35,SbIII,0,C58
B,10,1384,13702,1090,9.9,SbIII,0,C7
C,10,1548,19249,1265,12.43,SbIII,10,C7
D,10,536,5384,431,10.04,SbIII,25,C7
E,10,216,1484,173,6.87,SbIII,35,C7
F,10,43,45,20,1.047,SbIII,65,C7
G,10,79,97,42,1.228,SbIII,100,C7
G,11,49,35,21,0.7143,SbIII,100,C44
F,11,54,113,31,2.093,SbIII,65,C44
E,11,78,468,57,6,SbIII,35,C44
D,11,86,485,61,5.64,SbIII,25,C44
C,11,1168,17430,1004,14.92,SbIII,10,C44
B,11,966,12678,840,13.12,SbIII,0,C44
