row,column,n_celulas,n_amas,n_cels_infec,mean_ama_cel,composto,conc,pop
B,2,517,375,204,0.7253,ANF,0,THP-1
C,2,369,215,122,0.5827,ANF,0.15,THP-1
D,2,324,147,94,0.4537,ANF,0.62,THP-1
E,2,533,161,92,0.3021,ANF,1.2,THP-1
F,2,590,98,60,0.1661,ANF,3,THP-1
G,2,637,104,54,0.1633,ANF,5,THP-1
G,3,730,2667,534,3.653,ANF,5,REF
F,3,861,1977,477,2.296,ANF,3,REF
E,3,583,2441,390,4.187,ANF,1.2,REF
D,3,924,4782,613,5.175,ANF,0.62,REF
C,3,661,4907,408,7.424,ANF,0.15,REF
B,3,841,6234,644,7.413,ANF,0,REF
B,4,664,16417,560,24.72,ANF,0,C6
C,4,598,10249,464,17.14,ANF,0.15,C6
D,4,571,11771,430,20.61,ANF,0.62,C6
E,4,504,12424,388,24.65,ANF,1.2,C6
F,4,237,1290,183,5.443,ANF,3,C6
G,4,663,4884,556,7.367,ANF,5,C6
G,5,695,5908,602,8.501,ANF,5,C7
F,5,740,12233,682,16.53,ANF,3,C7
E,5,553,13131,477,23.75,ANF,1.2,C7
D,5,654,12936,546,19.78,ANF,0.62,C7
C,5,643,14107,560,21.94,ANF,0.15,C7
B,5,593,15624,496,26.35,ANF,0,C7
B,6,700,19526,580,27.89,ANF,0,C44
C,6,623,6712,464,10.77,ANF,0.15,C44
D,6,700,10198,539,14.57,ANF,0.62,C44
E,6,538,5013,408,9.318,ANF,1.2,C44
F,6,492,3218,400,6.541,ANF,3,C44
G,6,526,2072,370,3.939,ANF,5,C44
G,7,678,2559,494,3.774,ANF,5,C58
F,7,623,2881,448,4.624,ANF,3,C58
E,7,803,8813,645,10.98,ANF,1.2,C58
D,7,730,10352,600,14.18,ANF,0.62,C58
C,7,862,14641,659,16.98,ANF,0.15,C58
B,7,536,8074,398,15.06,ANF,0,C58
B,8,765,16725,525,21.86,ANF,0,C67
C,8,739,12466,568,16.87,ANF,0.15,C67
D,8,693,12485,599,18.02,ANF,0.62,C67
E,8,743,11876,599,15.98,ANF,1.2,C67
F,8,877,7375,730,8.409,ANF,3,C67
G,8,1003,10006,879,9.976,ANF,5,C67
G,9,733,601,287,0.8199,ANF,5,C73
F,9,820,1127,389,1.374,ANF,3,C73
E,9,673,2071,398,3.077,ANF,1.2,C73
D,9,663,2020,362,3.047,ANF,0.62,C73
C,9,559,3746,387,6.701,ANF,0.15,C73
B,9,527,4331,321,8.218,ANF,0,C73
B,10,826,11337,562,13.73,ANF,0,C89
C,10,707,8584,469,12.14,ANF,0.15,C89
D,10,788,4951,531,6.283,ANF,0.62,C89
E,10,842,3484,558,4.138,ANF,1.2,C89
F,10,980,2693,583,2.748,ANF,3,C89
G,10,933,1092,422,1.17,ANF,5,C89
G,11,684,2779,501,4.063,ANF,5,C85
F,11,825,2589,521,3.138,ANF,3,C85
E,11,743,4249,570,5.719,ANF,1.2,C85
D,11,700,5120,535,7.314,ANF,0.62,C85
C,11,603,7611,459,12.62,ANF,0.15,C85
B,11,668,15352,515,22.98,ANF,0,C85
