row,column,n_celulas,n_amas,n_cels_infec,mean_ama_cel,composto,conc,pop
B,2,114,153,60,1.342,MILT,0,THP-1
C,2,142,158,70,1.113,MILT,1.25,THP-1
D,2,130,234,76,1.8,MILT,2.5,THP-1
E,2,89,34,22,0.382,MILT,5,THP-1
F,2,80,105,37,1.313,MILT,10,THP-1
G,2,60,62,28,1.033,MILT,20,THP-1
G,3,88,585,61,6.648,MILT,20,C76
F,3,201,1745,157,8.682,MILT,10,C76
E,3,214,1250,169,5.841,MILT,5,C76
D,3,213,1798,175,8.441,MILT,2.5,C76
C,3,241,3506,197,14.55,MILT,1.25,C76
B,3,393,8169,314,20.79,MILT,0,C76
B,4,342,6455,262,18.87,MILT,0,C44
C,4,179,1515,148,8.464,MILT,1.25,C44
D,4,286,2447,232,8.556,MILT,2.5,C44
E,4,139,452,98,3.252,MILT,5,C44
F,4,158,906,125,5.734,MILT,10,C44
G,4,63,187,39,2.968,MILT,20,C44
G,5,152,1257,135,8.27,MILT,20,C6
F,5,138,1975,126,14.31,MILT,10,C6
E,5,239,3887,206,16.26,MILT,5,C6
D,5,222,3734,192,16.82,MILT,2.5,C6
C,5,238,3311,214,13.91,MILT,1.25,C6
B,5,265,5750,236,21.7,MILT,0,C6
B,6,205,1162,142,5.668,MILT,0,C58
C,6,231,1188,168,5.143,MILT,1.25,C58
D,6,185,503,123,2.719,MILT,2.5,C58
E,6,214,590,138,2.757,MILT,5,C58
F,6,141,623,104,4.418,MILT,10,C58
G,6,73,142,38,1.945,MILT,20,C58
G,7,56,68,21,1.214,MILT,20,REF
F,7,164,488,102,2.976,MILT,10,REF
E,7,239,941,177,3.937,MILT,5,REF
D,7,264,1329,180,5.034,MILT,2.5,REF
C,7,277,1895,213,6.841,MILT,1.25,REF
B,7,312,5404,235,17.32,MILT,0,REF
B,8,342,5328,243,15.58,MILT,0,C67
C,8,186,1223,142,6.575,MILT,1.25,C67
D,8,200,570,123,2.85,MILT,2.5,C67
E,8,211,736,156,3.488,MILT,5,C67
F,8,116,406,87,3.5,MILT,10,C67
G,8,104,500,77,4.808,MILT,20,C67
G,9,99,324,68,3.273,MILT,20,C7
F,9,123,237,74,1.927,MILT,10,C7
E,9,177,569,125,3.215,MILT,5,C7
D,9,158,875,116,5.538,MILT,2.5,C7
C,9,154,1071,114,6.955,MILT,1.25,C7
B,9,233,2718,186,11.67,MILT,0,C7
B,10,344,7904,258,22.98,MILT,0,C73
C,10,259,1553,195,5.996,MILT,1.25,C73
D,10,151,620,105,4.106,MILT,2.5,C73
E,10,161,480,118,2.981,MILT,5,C73
F,10,112,394,81,3.518,MILT,10,C73
G,10,55,98,37,1.782,MILT,20,C73
G,11,84,531,58,6.321,MILT,20,C85
F,11,113,704,77,6.23,MILT,10,C85
E,11,121,224,68,1.851,MILT,5,C85
D,11,91,250,55,2.747,MILT,2.5,C85
C,11,148,647,119,4.372,MILT,1.25,C85
B,11,214,3819,185,17.85,MILT,0,C85
