"pop","Cntrl_ama_per_cell","X","row","column","n_celulas","n_amas.x","n_cels_infec","mean_ama_cel","composto","conc","n_amas.y","corrected_ama","ama_per_cell","experiment","viability","mean_value"
"REF",10.6116152450091,8,"F",3,715,1659,423,2.32,"MILT","10",233,1426,3.37115839243499,"EXP 1",31.7685697662335,26.1357883018365
"REF",10.6116152450091,9,"E",3,726,1128,382,1.554,"MILT","5",225,903,2.36387434554974,"EXP 1",22.2762915067197,26.2275949699261
"REF",10.6116152450091,10,"D",3,695,1620,387,2.331,"MILT","2.5",178,1442,3.72609819121447,"EXP 1",35.1133932505416,38.5606492279178
"REF",10.6116152450091,11,"C",3,659,6954,497,10.55,"MILT","1.25",115,6839,13.7605633802817,"EXP 1",129.674541175564,76.2442942287075
"REF",10.6116152450091,12,"B",3,858,6064,551,7.068,"MILT","0",217,5847,10.6116152450091,"EXP 1",100,100
"C44",24.0534351145038,73,"B",4,342,6455,262,18.87,"MILT","0",153,6302,24.0534351145038,"EXP 2",100,100
"C44",24.0534351145038,74,"C",4,179,1515,148,8.464,"MILT","1.25",158,1357,9.16891891891892,"EXP 2",38.1189583744329,86.9434696214609
"C44",24.0534351145038,75,"D",4,286,2447,232,8.556,"MILT","2.5",234,2213,9.53879310344828,"EXP 2",39.6566771358847,41.7755316104934
"C44",24.0534351145038,76,"E",4,139,452,98,3.252,"MILT","5",34,418,4.26530612244898,"EXP 2",17.7326278019935,28.6914507407091
"C44",24.0534351145038,77,"F",4,158,906,125,5.734,"MILT","10",105,801,6.408,"EXP 2",26.6406854966677,28.2641000767719
"C44",24.0534351145038,78,"G",4,63,187,39,2.968,"MILT","20",62,125,3.20512820512821,"EXP 2",13.3250331600062,29.6213549316235
"C58",7.1056338028169,85,"B",6,205,1162,142,5.668,"MILT","0",153,1009,7.1056338028169,"EXP 2",100,100
"C58",7.1056338028169,86,"C",6,231,1188,168,5.143,"MILT","1.25",158,1030,6.13095238095238,"EXP 2",86.2829770163764,96.9296537301718
"C58",7.1056338028169,87,"D",6,185,503,123,2.719,"MILT","2.5",234,269,2.1869918699187,"EXP 2",30.7782800325526,47.5684275203723
"C58",7.1056338028169,88,"E",6,214,590,138,2.757,"MILT","5",34,556,4.02898550724638,"EXP 2",56.7012826589679,36.3030758213946
"C58",7.1056338028169,89,"F",6,141,623,104,4.418,"MILT","10",105,518,4.98076923076923,"EXP 2",70.0960585499733,39.8117149109901
"C58",7.1056338028169,90,"G",6,73,142,38,1.945,"MILT","20",62,80,2.10526315789474,"EXP 2",29.6280840853373,26.5907146887337
"C6",23.7161016949153,79,"G",5,152,1257,135,8.27,"MILT","20",62,1195,8.85185185185185,"EXP 2",37.3242279263361,40.0491175321576
"C6",23.7161016949153,80,"F",5,138,1975,126,14.31,"MILT","10",105,1870,14.8412698412698,"EXP 2",62.578875871711,52.6835678531626
"C6",23.7161016949153,81,"E",5,239,3887,206,16.26,"MILT","5",34,3853,18.7038834951456,"EXP 2",78.8657585287539,70.9979009048729
"C6",23.7161016949153,82,"D",5,222,3734,192,16.82,"MILT","2.5",234,3500,18.2291666666667,"EXP 2",76.8640938598058,84.0350362169988
"C6",23.7161016949153,83,"C",5,238,3311,214,13.91,"MILT","1.25",158,3153,14.7336448598131,"EXP 2",62.1250703397514,87.665813118613
"C6",23.7161016949153,84,"B",5,265,5750,236,21.7,"MILT","0",153,5597,23.7161016949153,"EXP 2",100,100
"C7",13.7903225806452,103,"G",9,99,324,68,3.273,"MILT","20",62,262,3.85294117647059,"EXP 2",27.9394564843481,51.9463981982667
"C7",13.7903225806452,104,"F",9,123,237,74,1.927,"MILT","10",105,132,1.78378378378378,"EXP 2",12.9350403034613,39.8050271134328
