"pop","Cntrl_ama_per_cell","X","row","column","n_celulas","n_amas.x","n_cels_infec","mean_ama_cel","composto","conc","n_amas.y","corrected_ama","ama_per_cell","experiment","viability","mean_value","mean_normalized","viability_normalized"
"C6",16.1538461538462,83,"C",5,173,2081,139,12.03,"SbIII",10,3,2078,12.0115606936416,"EXP 2",74.3572804844478,108.734625773454,100,68.3841784119158
"C6",16.1538461538462,84,"B",5,221,3574,186,16.17,"SbIII",0,4,3570,16.1538461538462,"EXP 2",100,100,90.3249779524509,90.3249779524509
"C6",11.6345412490362,163,"G",9,328,993,187,3.027,"SbIII",100,225,768,2.34146341463415,"EXP 3",20.1251030402949,18.4544617539135,0,0
"C6",11.6345412490362,164,"F",9,546,3517,392,6.441,"SbIII",65,188,3329,6.0970695970696,"EXP 3",52.4048990549987,38.8431450648561,22.5837907278609,30.4687293316925
"C6",11.6345412490362,165,"E",9,577,4741,443,8.217,"SbIII",35,448,4293,7.44020797227036,"EXP 3",63.9493024521848,58.1520333659698,43.9715324436762,48.3551247439653
"C6",11.6345412490362,166,"D",9,945,9165,695,9.698,"SbIII",25,437,8728,9.23597883597884,"EXP 3",79.3841255816076,92.31467097925,81.8122231250599,70.3527589469508
"C6",11.6345412490362,167,"C",9,1430,20995,1120,14.68,"SbIII",10,436,20559,14.3769230769231,"EXP 3",123.571035326503,108.734625773454,100,113.644604418799
"C6",11.6345412490362,168,"B",9,1297,15448,993,11.91,"SbIII",0,358,15090,11.6345412490362,"EXP 3",100,100,90.3249779524509,90.3249779524509
"C6",9.15567765567766,187,"G",3,50,58,22,1.16,"SbIII",100,81,0,0,"EXP 4",0,18.4544617539135,0,0
"C6",9.15567765567766,188,"F",3,46,46,19,1,"SbIII",65,43,3,0.0652173913043478,"EXP 4",0.712316376318741,38.8431450648561,22.5837907278609,0.414147823198936
"C6",9.15567765567766,189,"E",3,88,269,52,3.057,"SbIII",35,36,233,2.64772727272727,"EXP 4",28.918965611304,58.1520333659698,43.9715324436762,21.8670123985578
"C6",9.15567765567766,190,"D",3,354,3653,289,10.32,"SbIII",25,267,3386,9.56497175141243,"EXP 4",104.470385602544,92.31467097925,81.8122231250599,92.5850074122835
"C6",9.15567765567766,191,"C",3,1258,14572,1053,11.58,"SbIII",10,386,14186,11.2766295707472,"EXP 4",123.165427998159,108.734625773454,100,113.271579427487
"C6",9.15567765567766,192,"B",3,1092,10331,865,9.461,"SbIII",0,333,9998,9.15567765567766,"EXP 4",100,100,90.3249779524509,90.3249779524509
"C7",3.82287822878229,19,"G",5,432,1139,226,2.637,"SbIII",100,16,1123,2.59953703703704,"EXP 1",67.9994726869727,21.0900762697161,0,0
"C7",3.82287822878229,20,"F",5,429,1679,247,3.914,"SbIII",65,15,1664,3.87878787878788,"EXP 1",101.462501462501,38.9672410626338,15.1548656182984,39.4600832142331
"C7",3.82287822878229,21,"E",5,464,2638,315,5.685,"SbIII",35,21,2617,5.64008620689655,"EXP 1",147.53507355878,88.4942440175339,57.1399948573561,95.2621657828731
"C7",3.82287822878229,22,"D",5,709,6300,557,8.886,"SbIII",25,8,6292,8.87447108603667,"EXP 1",232.141087289183,139.053278604762,100,166.943986951224
"C7",3.82287822878229,23,"C",5,802,6411,512,7.994,"SbIII",10,12,6399,7.9788029925187,"EXP 1",208.711931561059,132.23325298502,94.2185143462184,148.710915553445
"C7",3.82287822878229,24,"B",5,813,3139,371,3.861,"SbIII",0,31,3108,3.82287822878229,"EXP 1",100,100,66.8936771537953,66.8936771537953
"C7",8.33333333333333,103,"G",9,56,36,13,0.6429,"SbIII",100,3,33,0.589285714285714,"EXP 2",7.07142857142857,21.0900762697161,0,0
"C7",8.33333333333333,104,"F",9,66,138,31,2.091,"SbIII",65,1,137,2.07575757575758,"EXP 2",24.909090909091,38.9672410626338,15.1548656182984,9.68746863023971
"C7",8.33333333333333,105,"E",9,94,239,51,2.543,"SbIII",35,7,232,2.46808510638298,"EXP 2",29.6170212765958,88.4942440175339,57.1399948573561,19.1234634774617
"C7",8.33333333333333,106,"D",9,156,1099,112,7.045,"SbIII",25,6,1093,7.00641025641026,"EXP 2",84.0769230769232,139.053278604762,100,60.4638192788673
"C7",8.33333333333333,107,"C",9,176,1526,124,8.67,"SbIII",10,3,1523,8.65340909090909,"EXP 2",103.840909090909,132.23325298502,94.2185143462184,73.9884708426141
"C7",8.33333333333333,108,"B",9,294,2454,204,8.347,"SbIII",0,4,2450,8.33333333333333,"EXP 2",100,100,66.8936771537953,66.8936771537953
"C7",9.71255349500713,121,"B",2,1402,13975,979,9.968,"SbIII",0,358,13617,9.71255349500713,"EXP 3",100,100,66.8936771537953,66.8936771537953
"C7",9.71255349500713,122,"C",2,1775,15992,1254,9.01,"SbIII",10,436,15556,8.76394366197183,"EXP 3",90.2331571864912,132.23325298502,94.2185143462184,64.2927087019716
"C7",9.71255349500713,123,"D",2,1134,15985,811,14.1,"SbIII",25,437,15548,13.710758377425,"EXP 3",141.1653319024,139.053278604762,100,101.518880618156
"C7",9.71255349500713,124,"E",2,899,9828,653,10.93,"SbIII",35,448,9380,10.4338153503893,"EXP 3",107.426078587397,88.4942440175339,57.1399948573561,69.3641224486146
"C7",9.71255349500713,125,"F",2,506,1614,278,3.19,"SbIII",65,188,1426,2.81818181818182,"EXP 3",29.015869200932,38.9672410626338,15.1548656182984,11.2846479901271
"C7",9.71255349500713,126,"G",2,428,524,174,1.224,"SbIII",100,225,299,0.698598130841122,"EXP 3",7.19273393140378,21.0900762697161,0,0
"C7",9.65968208092486,229,"B",10,1384,13702,1090,9.9,"SbIII",0,333,13369,9.65968208092486,"EXP 4",100,100,66.8936771537953,66.8936771537953
"C7",9.65968208092486,230,"C",10,1548,19249,1265,12.43,"SbIII",10,386,18863,12.1854005167959,"EXP 4",126.14701410162,132.23325298502,94.2185143462184,89.8819622868428
"C7",9.65968208092486,231,"D",10,536,5384,431,10.04,"SbIII",25,267,5117,9.54664179104478,"EXP 4",98.8297721505421,139.053278604762,100,71.073313151753
"C7",9.65968208092486,232,"E",10,216,1484,173,6.87,"SbIII",35,36,1448,6.7037037037037,"EXP 4",69.3988026473627,88.4942440175339,57.1399948573561,44.810227720475
"C7",9.65968208092486,233,"F",10,43,45,20,1.047,"SbIII",65,43,2,0.0465116279069767,"EXP 4",0.481502678010739,38.9672410626338,15.1548656182984,0.187262638593649
"C7",9.65968208092486,234,"G",10,79,97,42,1.228,"SbIII",100,81,16,0.20253164556962,"EXP 4",2.09666988905942,21.0900762697161,0,0
"C44",4.06734006734007,25,"B",6,891,3655,418,4.102,"SbIII",0,31,3624,4.06734006734007,"EXP 1",100,100,82.3246780828845,82.3246780828845
"C44",4.06734006734007,26,"C",6,857,5221,514,6.092,"SbIII",10,12,5209,6.0781796966161,"EXP 1",149.438689560843,119.241279915648,100,125.324627231909
"C44",4.06734006734007,27,"D",6,561,3280,363,5.847,"SbIII",25,8,3272,5.83244206773619,"EXP 1",143.39696143358,71.2651941698947,55.9284640316628,112.537009029517
