"pop","Cntrl_ama_per_cell","X","row","column","n_celulas","n_amas.x","n_cels_infec","mean_ama_cel","composto","conc","n_amas.y","corrected_ama","ama_per_cell","experiment","viability","mean_value"
"C7",30.7439516129032,23,"C",5,643,14107,560,21.94,"ANF","0.15",215,13892,24.8071428571429,"EXP 1",80.6895065718597,54.1075704791361
"C7",30.7439516129032,24,"B",5,593,15624,496,26.35,"ANF","0",375,15249,30.7439516129032,"EXP 1",100,100
"C73",12.3239875389408,43,"G",9,733,601,287,0.8199,"ANF","5",104,497,1.73170731707317,"EXP 1",14.0515179165947,11.6620371789137
"C73",12.3239875389408,44,"F",9,820,1127,389,1.374,"ANF","3",98,1029,2.6452442159383,"EXP 1",21.4641909331697,13.6920254721631
"C73",12.3239875389408,45,"E",9,673,2071,398,3.077,"ANF","1.2",161,1910,4.79899497487437,"EXP 1",38.940277728379,24.3255979545866
"C73",12.3239875389408,46,"D",9,663,2020,362,3.047,"ANF","0.62",147,1873,5.17403314917127,"EXP 1",41.9834337938316,26.967690614689
"C73",12.3239875389408,47,"C",9,559,3746,387,6.701,"ANF","0.15",215,3531,9.12403100775194,"EXP 1",74.0347308768548,49.1051799830063
"C73",12.3239875389408,48,"B",9,527,4331,321,8.218,"ANF","0",375,3956,12.3239875389408,"EXP 1",100,100
"C85",29.0815533980583,55,"G",11,684,2779,501,4.063,"ANF","5",104,2675,5.33932135728543,"EXP 1",18.3598217199839,12.5285922947968
"C85",29.0815533980583,56,"F",11,825,2589,521,3.138,"ANF","3",98,2491,4.78119001919386,"EXP 1",16.4406280288765,11.5452616417155
"C85",29.0815533980583,57,"E",11,743,4249,570,5.719,"ANF","1.2",161,4088,7.1719298245614,"EXP 1",24.6614399389004,32.0187244433508
"C85",29.0815533980583,58,"D",11,700,5120,535,7.314,"ANF","0.62",147,4973,9.29532710280374,"EXP 1",31.9629662679036,29.2257432298412
"C85",29.0815533980583,59,"C",11,603,7611,459,12.62,"ANF","0.15",215,7396,16.1132897603486,"EXP 1",55.4072526312313,41.321602511741
"C85",29.0815533980583,60,"B",11,668,15352,515,22.98,"ANF","0",375,14977,29.0815533980583,"EXP 1",100,100
"REF",9.09782608695652,7,"G",3,730,2667,534,3.653,"ANF","5",104,2563,4.79962546816479,"EXP 1",52.7557399129224,20.6921176022741
