"","row","column","n_celulas","n_amas.x","n_cels_infec","mean_ama_cel","composto","conc","pop","n_amas.y","corrected_ama","ama_per_cell","experiment"
"20","F",5,740,12233,682,16.53,"ANF",3,"C7",98,12135,17.7932551319648,"EXP 1"
"21","E",5,553,13131,477,23.75,"ANF",1.2,"C7",161,12970,27.1907756813417,"EXP 1"
"22","D",5,654,12936,546,19.78,"ANF",0.62,"C7",147,12789,23.4230769230769,"EXP 1"
"23","C",5,643,14107,560,21.94,"ANF",0.15,"C7",215,13892,24.8071428571429,"EXP 1"
"24","B",5,593,15624,496,26.35,"ANF",0,"C7",375,15249,30.7439516129032,"EXP 1"
"25","B",6,700,19526,580,27.89,"ANF",0,"C44",375,19151,33.0189655172414,"EXP 1"
"26","C",6,623,6712,464,10.77,"ANF",0.15,"C44",215,6497,14.0021551724138,"EXP 1"
"27","D",6,700,10198,539,14.57,"ANF",0.62,"C44",147,10051,18.6474953617811,"EXP 1"
"28","E",6,538,5013,408,9.318,"ANF",1.2,"C44",161,4852,11.8921568627451,"EXP 1"
"29","F",6,492,3218,400,6.541,"ANF",3,"C44",98,3120,7.8,"EXP 1"
"30","G",6,526,2072,370,3.939,"ANF",5,"C44",104,1968,5.31891891891892,"EXP 1"
"31","G",7,678,2559,494,3.774,"ANF",5,"C58",104,2455,4.96963562753036,"EXP 1"
"32","F",7,623,2881,448,4.624,"ANF",3,"C58",98,2783,6.21205357142857,"EXP 1"
"33","E",7,803,8813,645,10.98,"ANF",1.2,"C58",161,8652,13.4139534883721,"EXP 1"
"34","D",7,730,10352,600,14.18,"ANF",0.62,"C58",147,10205,17.0083333333333,"EXP 1"
"35","C",7,862,14641,659,16.98,"ANF",0.15,"C58",215,14426,21.8907435508346,"EXP 1"
"36","B",7,536,8074,398,15.06,"ANF",0,"C58",375,7699,19.3442211055276,"EXP 1"
"37","B",8,765,16725,525,21.86,"ANF",0,"C67",375,16350,31.1428571428571,"EXP 1"
"38","C",8,739,12466,568,16.87,"ANF",0.15,"C67",215,12251,21.568661971831,"EXP 1"
"39","D",8,693,12485,599,18.02,"ANF",0.62,"C67",147,12338,20.5976627712855,"EXP 1"
"40","E",8,743,11876,599,15.98,"ANF",1.2,"C67",161,11715,19.5575959933222,"EXP 1"
"41","F",8,877,7375,730,8.409,"ANF",3,"C67",98,7277,9.96849315068493,"EXP 1"
"42","G",8,1003,10006,879,9.976,"ANF",5,"C67",104,9902,11.2650739476678,"EXP 1"
"43","G",9,733,601,287,0.8199,"ANF",5,"C73",104,497,1.73170731707317,"EXP 1"
"44","F",9,820,1127,389,1.374,"ANF",3,"C73",98,1029,2.6452442159383,"EXP 1"
"45","E",9,673,2071,398,3.077,"ANF",1.2,"C73",161,1910,4.79899497487437,"EXP 1"
"46","D",9,663,2020,362,3.047,"ANF",0.62,"C73",147,1873,5.17403314917127,"EXP 1"
"47","C",9,559,3746,387,6.701,"ANF",0.15,"C73",215,3531,9.12403100775194,"EXP 1"
"48","B",9,527,4331,321,8.218,"ANF",0,"C73",375,3956,12.3239875389408,"EXP 1"
"49","B",10,826,11337,562,13.73,"ANF",0,"C89",375,10962,19.5053380782918,"EXP 1"
"50","C",10,707,8584,469,12.14,"ANF",0.15,"C89",215,8369,17.8443496801706,"EXP 1"
"51","D",10,788,4951,531,6.283,"ANF",0.62,"C89",147,4804,9.04708097928437,"EXP 1"
"52","E",10,842,3484,558,4.138,"ANF",1.2,"C89",161,3323,5.95519713261649,"EXP 1"
"53","F",10,980,2693,583,2.748,"ANF",3,"C89",98,2595,4.45111492281304,"EXP 1"
"54","G",10,933,1092,422,1.17,"ANF",5,"C89",104,988,2.34123222748815,"EXP 1"
"55","G",11,684,2779,501,4.063,"ANF",5,"C85",104,2675,5.33932135728543,"EXP 1"
"56","F",11,825,2589,521,3.138,"ANF",3,"C85",98,2491,4.78119001919386,"EXP 1"
"57","E",11,743,4249,570,5.719,"ANF",1.2,"C85",161,4088,7.1719298245614,"EXP 1"
"58","D",11,700,5120,535,7.314,"ANF",0.62,"C85",147,4973,9.29532710280374,"EXP 1"
"59","C",11,603,7611,459,12.62,"ANF",0.15,"C85",215,7396,16.1132897603486,"EXP 1"
"60","B",11,668,15352,515,22.98,"ANF",0,"C85",375,14977,29.0815533980583,"EXP 1"
"61","B",2,3,0,0,0,"ANF",0,"THP-1",0,0,NA,"EXP 2"
"62","C",2,171,158,67,0.924,"ANF",0.15,"THP-1",158,0,0,"EXP 2"
"63","D",2,143,127,67,0.8881,"ANF",0.62,"THP-1",127,0,0,"EXP 2"
"64","E",2,152,75,38,0.4934,"ANF",1.2,"THP-1",75,0,0,"EXP 2"
"65","F",2,207,285,116,1.377,"ANF",3,"THP-1",285,0,0,"EXP 2"
"66","G",2,204,63,48,0.3088,"ANF",5,"THP-1",63,0,0,"EXP 2"
"67","G",3,266,482,162,1.812,"ANF",5,"C76",63,419,2.58641975308642,"EXP 2"
"68","F",3,277,466,172,1.682,"ANF",3,"C76",285,181,1.05232558139535,"EXP 2"
"69","E",3,274,1127,207,4.113,"ANF",1.2,"C76",75,1052,5.08212560386473,"EXP 2"
