"pop","Cntrl_ama_per_cell","X","row","column","n_celulas","n_amas.x","n_cels_infec","mean_ama_cel","composto","conc","n_amas.y","corrected_ama","ama_per_cell","experiment","gene","viability","mean_value","mean_normalized","viability_normalized"
"REF",9.88387336207471,7,"G",3,300,684,163,2.28,"MILT",20,69,615,3.77300613496933,"EXP 1","GSH1",38.1733556952144,36.2983698838837,0,0
"REF",9.88387336207471,8,"F",3,715,1659,423,2.32,"MILT",10,233,1426,3.37115839243499,"EXP 1","GSH1",34.1076647680495,39.0580293871727,4.33216465302168,3.78308947029938
"REF",9.88387336207471,9,"E",3,726,1128,382,1.554,"MILT",5,225,903,2.36387434554974,"EXP 1","GSH1",23.9164774674282,46.666297273737,16.275764640488,8.34132941823228
"REF",9.88387336207471,10,"D",3,695,1620,387,2.331,"MILT",2.5,178,1442,3.72609819121447,"EXP 1","GSH1",37.6987649954302,56.5902608212052,31.8545866100022,21.2205873804183
"REF",9.88387336207471,11,"C",3,659,6954,497,10.55,"MILT",1.25,115,6839,13.7605633802817,"EXP 1","GSH1",139.222376452962,96.3480271132522,94.2670652539175,136.215397856254
"REF",9.88387336207471,12,"B",3,858,6064,551,7.068,"MILT",0,217,5847,10.6116152450091,"EXP 1","GSH1",107.362921966673,100,100,107.362921966673
"REF",9.88387336207471,247,"B",8,1181,7654,791,9.676,"MILT",0,411.5,7242.5,9.15613147914033,"EXP 1","PGPA",92.6370780333265,100,100,92.6370780333265
"REF",9.88387336207471,248,"C",8,1479,13246,1068,12.4,"MILT",1.25,434,12812,11.9962546816479,"EXP 1","PGPA",121.371999035101,96.3480271132522,94.2670652539175,118.750559776294
"REF",9.88387336207471,249,"D",8,1768,15454,1264,12.23,"MILT",2.5,424,15030,11.8908227848101,"EXP 1","PGPA",120.305292765448,56.5902608212052,31.8545866100022,67.7196979202227
"REF",9.88387336207471,250,"E",8,1675,14288,1209,11.82,"MILT",5,627,13661,11.2994210090984,"EXP 1","PGPA",114.321790609492,46.666297273737,16.275764640488,39.8719132637591
"REF",9.88387336207471,251,"F",8,1742,14473,1244,11.63,"MILT",10,407.5,14065.5,11.3066720257235,"EXP 1","PGPA",114.395152705094,39.0580293871727,4.33216465302168,12.6882652504937
"REF",9.88387336207471,252,"G",8,2067,8230,1128,7.296,"MILT",20,459,7771,6.88918439716312,"EXP 1","PGPA",69.7012612848473,36.2983698838837,0,0
"REF",12.4729620951589,91,"G",7,56,68,21,1.214,"MILT",20,62,6,0.285714285714286,"EXP 2","GSH1",2.29066907711665,36.2983698838837,0,0
"REF",12.4729620951589,92,"F",7,164,488,102,2.976,"MILT",10,105,383,3.75490196078431,"EXP 2","GSH1",30.1043323321065,39.0580293871727,4.33216465302168,3.33905541263176
"REF",12.4729620951589,93,"E",7,239,941,177,3.937,"MILT",5,34,907,5.12429378531073,"EXP 2","GSH1",41.0832146062531,46.666297273737,16.275764640488,14.3285576672985
"REF",12.4729620951589,94,"D",7,264,1329,180,5.034,"MILT",2.5,234,1095,6.08333333333333,"EXP 2","GSH1",48.7721624336086,56.5902608212052,31.8545866100022,27.4537888649617
"REF",12.4729620951589,95,"C",7,277,1895,213,6.841,"MILT",1.25,158,1737,8.15492957746479,"EXP 2","GSH1",65.3808575320688,96.3480271132522,94.2670652539175,63.9687365480563
"REF",12.4729620951589,96,"B",7,312,5404,235,17.32,"MILT",0,153,5251,22.3446808510638,"EXP 2","GSH1",179.144943122503,100,100,179.144943122503
"REF",12.4729620951589,277,"B",8,1803,7674,1126,6.815,"MILT",0,4745,2929,2.601243339254,"EXP 2","PGPA",20.8550568774968,100,100,20.8550568774968
"REF",12.4729620951589,278,"C",8,1676,9147,1079,8.477,"MILT",1.25,6525.5,2621.5,2.42956441149212,"EXP 2","PGPA",19.4786482389384,96.3480271132522,94.2670652539175,19.0579408796794
"REF",12.4729620951589,279,"D",8,1534,5659,903,6.267,"MILT",2.5,3309.5,2349.5,2.60188261351052,"EXP 2","PGPA",20.860182157696,56.5902608212052,31.8545866100022,11.7421702886684
"REF",12.4729620951589,280,"E",8,1453,3054,715,4.271,"MILT",5,1834,1220,1.70629370629371,"EXP 2","PGPA",13.6799398032002,46.666297273737,16.275764640488,4.77114092054255
"REF",12.4729620951589,281,"F",8,1133,2177,615,3.54,"MILT",10,1418.5,758.5,1.23333333333333,"EXP 2","PGPA",9.88805484955351,39.0580293871727,4.33216465302168,1.09674457156416
"REF",12.4729620951589,282,"G",8,650,1517,382,3.971,"MILT",20,1156,361,0.945026178010471,"EXP 2","PGPA",7.57659785062012,36.2983698838837,0,0
"REF",3.23409729021296,145,"B",6,1552,6140,964,3.956,"MILT",0,779,5361,5.56120331950207,"EXP 3","GSH1",171.955350147672,100,100,171.955350147672
"REF",3.23409729021296,146,"C",6,1911,3877,962,2.029,"MILT",1.25,752,3125,3.24844074844075,"EXP 3","GSH1",100.443507320302,96.3480271132522,94.2670652539175,98.2740896994755
"REF",3.23409729021296,147,"D",6,1412,1161,532,0.8222,"MILT",2.5,483,678,1.27443609022556,"EXP 3","GSH1",39.4062384604899,56.5902608212052,31.8545866100022,22.1817220454249
"REF",3.23409729021296,148,"E",6,1211,848,419,0.7002,"MILT",5,723,125,0.298329355608592,"EXP 3","GSH1",9.22450157920103,46.666297273737,16.275764640488,3.21722153673803
