"","row","column","n_celulas","n_amas.x","n_cels_infec","mean_ama_cel","composto","conc","pop","n_amas.y","corrected_ama","ama_per_cell","experiment","gene"
"21","E",5,713,6498,553,9.114,"MILT",5,"C7",225,6273,11.3435804701627,"EXP 1","GSH1"
"22","D",5,766,12168,620,15.89,"MILT",2.5,"C7",178,11990,19.3387096774194,"EXP 1","GSH1"
"23","C",5,761,19649,630,25.82,"MILT",1.25,"C7",115,19534,31.0063492063492,"EXP 1","GSH1"
"24","B",5,845,18715,655,22.15,"MILT",0,"C7",217,18498,28.2412213740458,"EXP 1","GSH1"
"25","B",6,788,11338,565,14.39,"MILT",0,"C44",217,11121,19.683185840708,"EXP 1","GSH1"
"26","C",6,663,15138,556,22.83,"MILT",1.25,"C44",115,15023,27.0197841726619,"EXP 1","GSH1"
"27","D",6,697,4516,524,6.479,"MILT",2.5,"C44",178,4338,8.27862595419847,"EXP 1","GSH1"
"28","E",6,781,2177,509,2.787,"MILT",5,"C44",225,1952,3.83497053045187,"EXP 1","GSH1"
"29","F",6,729,2950,550,4.047,"MILT",10,"C44",233,2717,4.94,"EXP 1","GSH1"
"30","G",6,411,2658,298,6.467,"MILT",20,"C44",69,2589,8.68791946308725,"EXP 1","GSH1"
"31","G",7,418,2570,316,6.148,"MILT",20,"C58",69,2501,7.91455696202532,"EXP 1","GSH1"
"32","F",7,675,3322,531,4.921,"MILT",10,"C58",233,3089,5.81732580037665,"EXP 1","GSH1"
"33","E",7,896,2848,587,3.179,"MILT",5,"C58",225,2623,4.46848381601363,"EXP 1","GSH1"
"34","D",7,738,9328,576,12.64,"MILT",2.5,"C58",178,9150,15.8854166666667,"EXP 1","GSH1"
"35","C",7,664,14803,562,22.29,"MILT",1.25,"C58",115,14688,26.135231316726,"EXP 1","GSH1"
"36","B",7,601,11684,466,19.44,"MILT",0,"C58",217,11467,24.6072961373391,"EXP 1","GSH1"
"37","B",8,865,18227,624,21.07,"MILT",0,"C67",217,18010,28.8621794871795,"EXP 1","GSH1"
"38","C",8,635,14404,502,22.68,"MILT",1.25,"C67",115,14289,28.4641434262948,"EXP 1","GSH1"
"39","D",8,553,11758,461,21.26,"MILT",2.5,"C67",178,11580,25.119305856833,"EXP 1","GSH1"
"40","E",8,715,6376,503,8.917,"MILT",5,"C67",225,6151,12.2286282306163,"EXP 1","GSH1"
"41","F",8,748,3250,546,4.345,"MILT",10,"C67",233,3017,5.52564102564103,"EXP 1","GSH1"
"42","G",8,514,2840,411,5.525,"MILT",20,"C67",69,2771,6.74209245742092,"EXP 1","GSH1"
"43","G",9,514,890,272,1.732,"MILT",20,"C73",69,821,3.01838235294118,"EXP 1","GSH1"
"44","F",9,767,2187,439,2.851,"MILT",10,"C73",233,1954,4.45102505694761,"EXP 1","GSH1"
"45","E",9,648,2315,363,3.573,"MILT",5,"C73",225,2090,5.75757575757576,"EXP 1","GSH1"
"46","D",9,793,4852,541,6.119,"MILT",2.5,"C73",178,4674,8.63955637707948,"EXP 1","GSH1"
"47","C",9,508,8448,410,16.63,"MILT",1.25,"C73",115,8333,20.3243902439024,"EXP 1","GSH1"
"48","B",9,569,5341,381,9.387,"MILT",0,"C73",217,5124,13.4488188976378,"EXP 1","GSH1"
"49","B",10,670,7206,424,10.76,"MILT",0,"C89",217,6989,16.4834905660377,"EXP 1","GSH1"
"50","C",10,600,11949,462,19.92,"MILT",1.25,"C89",115,11834,25.6147186147186,"EXP 1","GSH1"
