"pop","Cntrl_ama_per_cell","X","row","column","n_celulas","n_amas.x","n_cels_infec","mean_ama_cel","composto","conc","n_amas.y","corrected_ama","ama_per_cell","experiment","gene","viability","mean_value","mean_normalized","viability_normalized"
"REF",11.9716634679265,7,"G",3,730,2667,534,3.653,"ANF",5,104,2563,4.79962546816479,"EXP 1","GSH1",40.0915501928664,22.2940124172225,0,0
"REF",11.9716634679265,8,"F",3,861,1977,477,2.296,"ANF",3,98,1879,3.93920335429769,"EXP 1","GSH1",32.9043943212344,33.9514017102264,15.0019189712835,14.5392835800837
"REF",11.9716634679265,9,"E",3,583,2441,390,4.187,"ANF",1.2,161,2280,5.84615384615385,"EXP 1","GSH1",48.8332624936911,40.6714986545115,23.6500259619146,28.3960012290493
"REF",11.9716634679265,10,"D",3,924,4782,613,5.175,"ANF",0.62,147,4635,7.56117455138662,"EXP 1","GSH1",63.1589300153978,53.9505061893108,40.7388088831195,47.6922231300474
"REF",11.9716634679265,11,"C",3,661,4907,408,7.424,"ANF",0.15,215,4692,11.5,"EXP 1","GSH1",96.0601676685107,72.6800283542901,64.8418706259838,85.7005852269211
"REF",11.9716634679265,12,"B",3,841,6234,644,7.413,"ANF",0,375,5859,9.09782608695652,"EXP 1","GSH1",75.9946695071299,100,100,75.9946695071299
"REF",11.9716634679265,247,"G",3,2060,3385,786,4.307,"ANF",5,409,2976,3.78625954198473,"EXP 1","PGPA",31.6268457773523,22.2940124172225,0,0
"REF",11.9716634679265,248,"F",3,1386,4232,609,6.949,"ANF",3,405,3827,6.28407224958949,"EXP 1","PGPA",52.4912203423132,33.9514017102264,15.0019189712835,23.1940065685706
"REF",11.9716634679265,249,"E",3,2583,3987,778,5.125,"ANF",1.2,383,3604,4.63239074550129,"EXP 1","PGPA",38.6946288451227,40.6714986545115,23.6500259619146,22.500498064934
"REF",11.9716634679265,250,"D",3,1924,4967,742,6.694,"ANF",0.62,337,4630,6.23989218328841,"EXP 1","PGPA",52.1221816834882,53.9505061893108,40.7388088831195,39.3582145591725
"REF",11.9716634679265,251,"C",3,1877,13527,1207,11.21,"ANF",0.15,1139,12388,10.2634631317316,"EXP 1","PGPA",85.7313034168448,72.6800283542901,64.8418706259838,76.4856345082023
"REF",11.9716634679265,252,"B",3,1568,17859,1178,15.16,"ANF",0,371,17488,14.8455008488964,"EXP 1","PGPA",124.00533049287,100,100,124.00533049287
"REF",8.42367579803913,91,"G",7,226,167,90,0.7389,"ANF",5,63,104,1.15555555555556,"EXP 2","GSH1",13.7179490671347,22.2940124172225,0,0
"REF",8.42367579803913,92,"F",7,278,378,159,1.36,"ANF",3,285,93,0.584905660377358,"EXP 2","GSH1",6.94359178107867,33.9514017102264,15.0019189712835,3.06812667584315
"REF",8.42367579803913,93,"E",7,221,431,134,1.95,"ANF",1.2,75,356,2.65671641791045,"EXP 2","GSH1",31.5386831308119,40.6714986545115,23.6500259619146,18.3393948962724
"REF",8.42367579803913,94,"D",7,235,557,133,2.37,"ANF",0.62,127,430,3.23308270676692,"EXP 2","GSH1",38.3809014530156,53.9505061893108,40.7388088831195,28.9819747671995
"REF",8.42367579803913,95,"C",7,229,1712,163,7.476,"ANF",0.15,158,1554,9.53374233128834,"EXP 2","GSH1",113.177935142134,72.6800283542901,64.8418706259838,100.972291761208
"REF",8.42367579803913,96,"B",7,245,2306,186,9.412,"ANF",0,0,2306,12.3978494623656,"EXP 2","GSH1",147.178616076981,100,100,147.178616076981
"REF",8.42367579803913,277,"G",3,1448,1637,473,3.461,"ANF",5,264,1373,2.90274841437632,"EXP 2","PGPA",34.4594032815463,22.2940124172225,0,0
"REF",8.42367579803913,278,"F",3,1970,3373,676,4.99,"ANF",3,387,2986,4.41715976331361,"EXP 2","PGPA",52.4374378741148,33.9514017102264,15.0019189712835,23.1702420054202
"REF",8.42367579803913,279,"E",3,1990,3914,678,5.773,"ANF",1.2,102,3812,5.62241887905605,"EXP 2","PGPA",66.7454329185466,40.6714986545115,23.6500259619146,38.8117299234991
"REF",8.42367579803913,280,"D",3,1677,3743,587,6.376,"ANF",0.62,72,3671,6.25383304940375,"EXP 2","PGPA",74.2411412706496,53.9505061893108,40.7388088831195,56.0605614130255
"REF",8.42367579803913,281,"C",3,2027,5074,943,5.381,"ANF",0.15,355,4719,5.00424178154825,"EXP 2","PGPA",59.4068658567456,72.6800283542901,64.8418706259838,53.0001486983583
"REF",8.42367579803913,282,"B",3,1373,3873,703,5.509,"ANF",0,745,3128,4.44950213371266,"EXP 2","PGPA",52.8213839230187,100,100,52.8213839230187
"REF",6.67892158162975,145,"B",6,2432,7704,1175,3.168,"ANF",0,583,7121,6.06042553191489,"EXP 3","GSH1",90.7395820993613,100,100,90.7395820993613
"REF",6.67892158162975,146,"C",6,2075,5281,1017,2.545,"ANF",0.15,602,4679,4.6007866273353,"EXP 3","GSH1",68.8851721210454,72.6800283542901,64.8418706259838,61.4562696226273
"REF",6.67892158162975,147,"D",6,1886,2931,759,1.554,"ANF",0.62,364,2567,3.38208168642951,"EXP 3","GSH1",50.6381403808043,53.9505061893108,40.7388088831195,38.2375934700478
"REF",6.67892158162975,148,"E",6,2047,2267,660,1.107,"ANF",1.2,468,1799,2.72575757575758,"EXP 3","GSH1",40.8113427062046,40.6714986545115,23.6500259619146,23.7313437289646
"REF",6.67892158162975,149,"F",6,2124,2418,839,1.138,"ANF",3,273,2145,2.55661501787843,"EXP 3","GSH1",38.2788596427057,33.9514017102264,15.0019189712835,16.9140689852589
"REF",6.67892158162975,150,"G",6,1882,1882,708,1,"ANF",5,172,1710,2.41525423728814,"EXP 3","GSH1",36.1623386016577,22.2940124172225,0,0
"REF",6.67892158162975,307,"G",3,3127,104,81,1.284,"ANF",5,226,0,0,"EXP 3","PGPA",0,22.2940124172225,0,0
"REF",6.67892158162975,308,"F",3,3009,1679,527,3.186,"ANF",3,439,1240,2.35294117647059,"EXP 3","PGPA",35.2293577295818,33.9514017102264,15.0019189712835,15.5666023624101
"REF",6.67892158162975,309,"E",3,2468,1175,390,3.013,"ANF",1.2,215,960,2.46153846153846,"EXP 3","PGPA",36.8553280863317,40.6714986545115,23.6500259619146,21.4309650470659
"REF",6.67892158162975,310,"D",3,1795,1765,320,5.516,"ANF",0.62,48,1717,5.365625,"EXP 3","PGPA",80.3366970913097,53.9505061893108,40.7388088831195,60.6634039284023
"REF",6.67892158162975,311,"C",3,1949,1816,483,3.76,"ANF",0.15,76,1740,3.60248447204969,"EXP 3","PGPA",53.9381160269684,72.6800283542901,64.8418706259838,48.1211746943896
"REF",6.67892158162975,312,"B",3,2223,8417,1123,7.495,"ANF",0,222,8195,7.29741763134461,"EXP 3","PGPA",109.260417900639,100,100,109.260417900639
"REF",9.84433962264151,199,"G",5,126,134,60,1.063,"ANF",5,290,0,0,"EXP 4","GSH1",0,22.2940124172225,0,0
"REF",9.84433962264151,200,"F",5,431,804,259,1.865,"ANF",3,310,494,1.90733590733591,"EXP 4","GSH1",19.3749502805564,33.9514017102264,15.0019189712835,8.56110262139794
"REF",9.84433962264151,201,"E",5,426,790,258,1.854,"ANF",1.2,251,539,2.08914728682171,"EXP 4","GSH1",21.2218124008722,40.6714986545115,23.6500259619146,12.3402488436171
"REF",9.84433962264151,202,"D",5,831,1495,389,1.799,"ANF",0.62,776,719,1.84832904884319,"EXP 4","GSH1",18.7755514305106,53.9505061893108,40.7388088831195,14.1776909139418
"REF",9.84433962264151,203,"C",5,1776,2988,692,1.682,"ANF",0.15,838,2150,3.10693641618497,"EXP 4","GSH1",31.5606382477822,72.6800283542901,64.8418706259838,28.1569898701804
"REF",9.84433962264151,204,"B",5,1736,13080,1272,7.535,"ANF",0,558,12522,9.84433962264151,"EXP 4","GSH1",100,100,100,100
"C6",28.6464285714286,13,"B",4,664,16417,560,24.72,"ANF",0,375,16042,28.6464285714286,"EXP 1","GSH1",100,100,100,100
"C6",28.6464285714286,14,"C",4,598,10249,464,17.14,"ANF",0.15,215,10034,21.625,"EXP 1","GSH1",75.4893404812367,53.8594736931689,46.3242810324429,64.928028137232
"C6",28.6464285714286,15,"D",4,571,11771,430,20.61,"ANF",0.62,147,11624,27.0325581395349,"EXP 1","GSH1",94.3662421028521,53.149346476579,45.4981831969865,80.7816625308597
"C6",28.6464285714286,16,"E",4,504,12424,388,24.65,"ANF",1.2,161,12263,31.6056701030928,"EXP 1","GSH1",110.330228510983,48.3651573079312,39.9326898257947,91.094147910807
"C6",28.6464285714286,17,"F",4,237,1290,183,5.443,"ANF",3,98,1192,6.51366120218579,"EXP 1","GSH1",22.7381266252589,20.744208950777,7.80097438377721,8.55079814128479
"C6",28.6464285714286,18,"G",4,663,4884,556,7.367,"ANF",5,104,4780,8.59712230215827,"EXP 1","GSH1",30.011148791975,14.038363725096,0,0
"C6",24.4111111111111,79,"G",5,172,331,118,1.924,"ANF",5,63,268,2.27118644067797,"EXP 2","GSH1",9.30390439968217,14.038363725096,0,0
"C6",24.4111111111111,80,"F",5,239,1021,187,4.272,"ANF",3,285,736,3.93582887700535,"EXP 2","GSH1",16.1231041843642,20.744208950777,7.80097438377721,6.0631824056364
"C6",24.4111111111111,81,"E",5,367,3294,318,8.975,"ANF",1.2,75,3219,10.122641509434,"EXP 2","GSH1",41.4673525648184,48.3651573079312,39.9326898257947,34.2375176684522
"C6",24.4111111111111,82,"D",5,347,2702,286,7.787,"ANF",0.62,127,2575,9.0034965034965,"EXP 2","GSH1",36.882780396663,53.149346476579,45.4981831969865,31.5732856666652
"C6",24.4111111111111,83,"C",5,296,5370,264,18.14,"ANF",0.15,158,5212,19.7424242424242,"EXP 2","GSH1",80.8747465552198,53.8594736931689,46.3242810324429,69.5599906748953
"C6",24.4111111111111,84,"B",5,300,6591,270,21.97,"ANF",0,0,6591,24.4111111111111,"EXP 2","GSH1",100,100,100,100
"C6",16.6331500392773,163,"G",9,1541,2393,793,1.553,"ANF",5,172,2221,2.80075662042875,"EXP 3","GSH1",16.8384017087267,14.038363725096,0,0
"C6",16.6331500392773,164,"F",9,1588,2949,889,1.857,"ANF",3,273,2676,3.01012373453318,"EXP 3","GSH1",18.0971357044523,20.744208950777,7.80097438377721,6.80552786491694
"C6",16.6331500392773,165,"E",9,1469,1784,595,1.214,"ANF",1.2,468,1316,2.21176470588235,"EXP 3","GSH1",13.2973291328433,48.3651573079312,39.9326898257947,10.9789391646672
"C6",16.6331500392773,166,"D",9,2029,4166,813,2.053,"ANF",0.62,364,3802,4.67650676506765,"EXP 3","GSH1",28.1155809574531,53.149346476579,45.4981831969865,24.0681765232166
"C6",16.6331500392773,167,"C",9,2353,6925,1291,2.943,"ANF",0.15,602,6323,4.89775367931836,"EXP 3","GSH1",29.4457373843972,53.8594736931689,46.3242810324429,25.3261407932275
"C6",16.6331500392773,168,"B",9,1640,21757,1273,13.27,"ANF",0,583,21174,16.6331500392773,"EXP 3","GSH1",100,100,100,100
"C6",12.9405594405594,187,"G",3,105,182,66,1.733,"ANF",5,290,0,0,"EXP 4","GSH1",0,14.038363725096,0,0
"C6",12.9405594405594,188,"F",3,348,1145,248,3.29,"ANF",3,310,835,3.36693548387097,"EXP 4","GSH1",26.0184692890327,20.744208950777,7.80097438377721,9.78438912327075
"C6",12.9405594405594,189,"E",3,894,2079,498,2.326,"ANF",1.2,251,1828,3.67068273092369,"EXP 4","GSH1",28.3657190230797,48.3651573079312,39.9326898257947,23.420154559252
"C6",12.9405594405594,190,"D",3,1232,6466,826,5.248,"ANF",0.62,776,5690,6.88861985472155,"EXP 4","GSH1",53.232782449348,53.149346476579,45.4981831969865,45.5696080672045
"C6",12.9405594405594,191,"C",3,1831,4465,946,2.439,"ANF",0.15,838,3627,3.83403805496829,"EXP 4","GSH1",29.6280703518221,53.8594736931689,46.3242810324429,25.482964524417
"C6",12.9405594405594,192,"B",3,1380,15362,1144,11.13,"ANF",0,558,14804,12.9405594405594,"EXP 4","GSH1",100,100,100,100
"C7",30.7439516129032,19,"G",5,695,5908,602,8.501,"ANF",5,104,5804,9.64119601328904,"EXP 1","GSH1",31.3596512728137,19.1807517815052,0,0
"C7",30.7439516129032,20,"F",5,740,12233,682,16.53,"ANF",3,98,12135,17.7932551319648,"EXP 1","GSH1",57.875628208109,26.8391362447684,9.4759412294442,20.4338189767231
"C7",30.7439516129032,21,"E",5,553,13131,477,23.75,"ANF",1.2,161,12970,27.1907756813417,"EXP 1","GSH1",88.4426830477113,46.7230500706117,34.0788845432537,64.5083739123086
"C7",30.7439516129032,22,"D",5,654,12936,546,19.78,"ANF",0.62,147,12789,23.4230769230769,"EXP 1","GSH1",76.1875936379182,52.3632346804048,41.0576485556891,59.7381629110831
"C7",30.7439516129032,23,"C",5,643,14107,560,21.94,"ANF",0.15,215,13892,24.8071428571429,"EXP 1","GSH1",80.6895065718597,54.1075704791361,43.2159658342852,64.4470806638683
"C7",30.7439516129032,24,"B",5,593,15624,496,26.35,"ANF",0,375,15249,30.7439516129032,"EXP 1","GSH1",100,100,100,100
"C7",12.4151785714286,103,"G",9,232,353,133,1.522,"ANF",5,63,290,2.18045112781955,"EXP 2","GSH1",17.5627850640625,19.1807517815052,0,0
"C7",12.4151785714286,104,"F",9,446,731,253,1.639,"ANF",3,285,446,1.76284584980237,"EXP 2","GSH1",14.1991179559773,26.8391362447684,9.4759412294442,5.01320184203074
"C7",12.4151785714286,105,"E",9,337,1109,247,3.291,"ANF",1.2,75,1034,4.18623481781376,"EXP 2","GSH1",33.7186838975289,46.7230500706117,34.0788845432537,24.5937526286865
"C7",12.4151785714286,106,"D",9,277,1115,188,4.025,"ANF",0.62,127,988,5.25531914893617,"EXP 2","GSH1",42.3297910593923,52.3632346804048,41.0576485556891,33.1904951128364
"C7",12.4151785714286,107,"C",9,296,1077,202,3.639,"ANF",0.15,158,919,4.54950495049505,"EXP 2","GSH1",36.6447000687123,54.1075704791361,43.2159658342852,29.2682907798965
"C7",12.4151785714286,108,"B",9,301,2781,224,9.239,"ANF",0,0,2781,12.4151785714286,"EXP 2","GSH1",100,100,100,100
"C7",9.03285968028419,121,"B",2,1796,10754,1126,5.988,"ANF",0,583,10171,9.03285968028419,"EXP 3","GSH1",100,100,100,100
"C7",9.03285968028419,122,"C",2,2096,7732,1210,3.689,"ANF",0.15,602,7130,5.89256198347107,"EXP 3","GSH1",65.2347339827787,54.1075704791361,43.2159658342852,52.1032825913987
"C7",9.03285968028419,123,"D",2,1946,5767,850,2.964,"ANF",0.62,364,5403,6.35647058823529,"EXP 3","GSH1",70.370522882243,52.3632346804048,41.0576485556891,55.1770381416184
"C7",9.03285968028419,124,"E",2,1672,2877,657,1.721,"ANF",1.2,468,2409,3.66666666666667,"EXP 3","GSH1",40.59253432963,46.7230500706117,34.0788845432537,29.6074055235456
"C7",9.03285968028419,125,"F",2,1550,1165,468,0.7516,"ANF",3,273,892,1.90598290598291,"EXP 3","GSH1",21.1005481480362,26.8391362447684,9.4759412294442,7.44985055913725
"C7",9.03285968028419,126,"G",2,1136,971,443,0.8548,"ANF",5,172,799,1.80361173814898,"EXP 3","GSH1",19.967228563128,19.1807517815052,0,0
"C7",8.28558797524315,229,"B",10,1586,9929,1131,6.26,"ANF",0,558,9371,8.28558797524315,"EXP 4","GSH1",100,100,100,100
"C7",8.28558797524315,230,"C",10,1681,2238,499,1.331,"ANF",0.15,838,1400,2.80561122244489,"EXP 4","GSH1",33.8613412931936,54.1075704791361,43.2159658342852,27.0452093019773
