"","row","column","n_celulas","n_amas.x","n_cels_infec","mean_ama_cel","composto","conc","pop","n_amas.y","corrected_ama","ama_per_cell","experiment","gene"
"57","E",11,651,7398,460,11.36,"SbIII",35,"C85",206,7192,15.6347826086957,"EXP 1","GSH1"
"58","D",11,656,7064,479,10.77,"SbIII",25,"C85",264,6800,14.19624217119,"EXP 1","GSH1"
"59","C",11,985,11730,667,11.91,"SbIII",10,"C85",405,11325,16.9790104947526,"EXP 1","GSH1"
"60","B",11,1010,25014,792,24.77,"SbIII",0,"C85",520,24494,30.9267676767677,"EXP 1","GSH1"
"61","B",2,69,4,2,0.05797,"SbIII",0,"THP-1",4,0,0,"EXP 2","GSH1"
"62","C",2,109,3,2,0.02752,"SbIII",10,"THP-1",3,0,0,"EXP 2","GSH1"
"63","D",2,75,6,3,0.08,"SbIII",25,"THP-1",6,0,0,"EXP 2","GSH1"
"64","E",2,47,7,4,0.1489,"SbIII",35,"THP-1",7,0,0,"EXP 2","GSH1"
"65","F",2,77,1,1,0.01299,"SbIII",65,"THP-1",1,0,0,"EXP 2","GSH1"
"66","G",2,37,3,3,0.08108,"SbIII",100,"THP-1",3,0,0,"EXP 2","GSH1"
"67","G",3,38,15,9,0.3947,"SbIII",100,"C76",3,12,1.33333333333333,"EXP 2","GSH1"
"68","F",3,57,68,23,1.193,"SbIII",65,"C76",1,67,2.91304347826087,"EXP 2","GSH1"
"69","E",3,35,69,15,1.971,"SbIII",35,"C76",7,62,4.13333333333333,"EXP 2","GSH1"
"70","D",3,53,129,20,2.434,"SbIII",25,"C76",6,123,6.15,"EXP 2","GSH1"
"71","C",3,105,564,65,5.371,"SbIII",10,"C76",3,561,8.63076923076923,"EXP 2","GSH1"
"72","B",3,221,2126,167,9.62,"SbIII",0,"C76",4,2122,12.7065868263473,"EXP 2","GSH1"
"73","B",4,216,1070,130,4.954,"SbIII",0,"C44",4,1066,8.2,"EXP 2","GSH1"
"74","C",4,118,424,51,3.593,"SbIII",10,"C44",3,421,8.25490196078431,"EXP 2","GSH1"
"75","D",4,68,129,32,1.897,"SbIII",25,"C44",6,123,3.84375,"EXP 2","GSH1"
"76","E",4,91,181,45,1.989,"SbIII",35,"C44",7,174,3.86666666666667,"EXP 2","GSH1"
"77","F",4,62,33,19,0.5323,"SbIII",65,"C44",1,32,1.68421052631579,"EXP 2","GSH1"
"78","G",4,31,15,10,0.4839,"SbIII",100,"C44",3,12,1.2,"EXP 2","GSH1"
"79","G",5,43,24,14,0.5581,"SbIII",100,"C6",3,21,1.5,"EXP 2","GSH1"
"80","F",5,31,20,6,0.6452,"SbIII",65,"C6",1,19,3.16666666666667,"EXP 2","GSH1"
"81","E",5,40,110,23,2.75,"SbIII",35,"C6",7,103,4.47826086956522,"EXP 2","GSH1"
"82","D",5,90,309,55,3.433,"SbIII",25,"C6",6,303,5.50909090909091,"EXP 2","GSH1"
"83","C",5,173,2081,139,12.03,"SbIII",10,"C6",3,2078,14.9496402877698,"EXP 2","GSH1"
"84","B",5,221,3574,186,16.17,"SbIII",0,"C6",4,3570,19.1935483870968,"EXP 2","GSH1"
"85","B",6,153,554,84,3.621,"SbIII",0,"C58",4,550,6.54761904761905,"EXP 2","GSH1"
"86","C",6,114,507,74,4.447,"SbIII",10,"C58",3,504,6.81081081081081,"EXP 2","GSH1"
"87","D",6,56,20,11,0.3571,"SbIII",25,"C58",6,14,1.27272727272727,"EXP 2","GSH1"
"88","E",6,79,94,30,1.19,"SbIII",35,"C58",7,87,2.9,"EXP 2","GSH1"
"89","F",6,58,45,14,0.7759,"SbIII",65,"C58",1,44,3.14285714285714,"EXP 2","GSH1"
"90","G",6,25,14,6,0.56,"SbIII",100,"C58",3,11,1.83333333333333,"EXP 2","GSH1"
"91","G",7,40,12,7,0.3,"SbIII",100,"REF",3,9,1.28571428571429,"EXP 2","GSH1"
"92","F",7,80,47,20,0.5875,"SbIII",65,"REF",1,46,2.3,"EXP 2","GSH1"
"93","E",7,67,61,20,0.9104,"SbIII",35,"REF",7,54,2.7,"EXP 2","GSH1"
"94","D",7,95,264,51,2.779,"SbIII",25,"REF",6,258,5.05882352941176,"EXP 2","GSH1"
"95","C",7,133,500,87,3.759,"SbIII",10,"REF",3,497,5.71264367816092,"EXP 2","GSH1"
"96","B",7,205,1140,135,5.561,"SbIII",0,"REF",4,1136,8.41481481481481,"EXP 2","GSH1"
"97","B",8,221,1347,152,6.095,"SbIII",0,"C67",4,1343,8.83552631578947,"EXP 2","GSH1"
"98","C",8,148,1123,104,7.588,"SbIII",10,"C67",3,1120,10.7692307692308,"EXP 2","GSH1"
"99","D",8,33,114,17,3.455,"SbIII",25,"C67",6,108,6.35294117647059,"EXP 2","GSH1"
"100","E",8,65,169,35,2.6,"SbIII",35,"C67",7,162,4.62857142857143,"EXP 2","GSH1"
"101","F",8,45,17,7,0.3778,"SbIII",65,"C67",1,16,2.28571428571429,"EXP 2","GSH1"
"102","G",8,78,37,19,0.4744,"SbIII",100,"C67",3,34,1.78947368421053,"EXP 2","GSH1"
"103","G",9,56,36,13,0.6429,"SbIII",100,"C7",3,33,2.53846153846154,"EXP 2","GSH1"
"104","F",9,66,138,31,2.091,"SbIII",65,"C7",1,137,4.41935483870968,"EXP 2","GSH1"
"105","E",9,94,239,51,2.543,"SbIII",35,"C7",7,232,4.54901960784314,"EXP 2","GSH1"
"106","D",9,156,1099,112,7.045,"SbIII",25,"C7",6,1093,9.75892857142857,"EXP 2","GSH1"
"107","C",9,176,1526,124,8.67,"SbIII",10,"C7",3,1523,12.2822580645161,"EXP 2","GSH1"
"108","B",9,294,2454,204,8.347,"SbIII",0,"C7",4,2450,12.0098039215686,"EXP 2","GSH1"
"109","B",10,231,1970,168,8.528,"SbIII",0,"C73",4,1966,11.702380952381,"EXP 2","GSH1"
"110","C",10,115,591,83,5.139,"SbIII",10,"C73",3,588,7.08433734939759,"EXP 2","GSH1"
"111","D",10,108,483,72,4.472,"SbIII",25,"C73",6,477,6.625,"EXP 2","GSH1"
"112","E",10,98,255,49,2.602,"SbIII",35,"C73",7,248,5.06122448979592,"EXP 2","GSH1"
"113","F",10,62,99,29,1.597,"SbIII",65,"C73",1,98,3.37931034482759,"EXP 2","GSH1"
"114","G",10,49,76,17,1.551,"SbIII",100,"C73",3,73,4.29411764705882,"EXP 2","GSH1"
"115","G",11,59,101,25,1.712,"SbIII",100,"C85",3,98,3.92,"EXP 2","GSH1"
"116","F",11,103,669,62,6.495,"SbIII",65,"C85",1,668,10.7741935483871,"EXP 2","GSH1"
"117","E",11,105,1139,72,10.85,"SbIII",35,"C85",7,1132,15.7222222222222,"EXP 2","GSH1"
"118","D",11,189,2219,133,11.74,"SbIII",25,"C85",6,2213,16.6390977443609,"EXP 2","GSH1"
"119","C",11,213,2689,162,12.62,"SbIII",10,"C85",3,2686,16.5802469135802,"EXP 2","GSH1"
"120","B",11,237,7208,209,30.41,"SbIII",0,"C85",4,7204,34.4688995215311,"EXP 2","GSH1"
"121","B",2,1402,13975,979,9.968,"SbIII",0,"C7",358,13617,13.9090909090909,"EXP 3","GSH1"
"122","C",2,1775,15992,1254,9.01,"SbIII",10,"C7",436,15556,12.4051036682616,"EXP 3","GSH1"
"123","D",2,1134,15985,811,14.1,"SbIII",25,"C7",437,15548,19.1713933415536,"EXP 3","GSH1"
"124","E",2,899,9828,653,10.93,"SbIII",35,"C7",448,9380,14.364471669219,"EXP 3","GSH1"
"125","F",2,506,1614,278,3.19,"SbIII",65,"C7",188,1426,5.1294964028777,"EXP 3","GSH1"
"126","G",2,428,524,174,1.224,"SbIII",100,"C7",225,299,1.7183908045977,"EXP 3","GSH1"
"127","G",3,175,227,76,1.297,"SbIII",100,"C73",225,2,0.0263157894736842,"EXP 3","GSH1"
"128","F",3,456,1430,258,3.136,"SbIII",65,"C73",188,1242,4.81395348837209,"EXP 3","GSH1"
"129","E",3,817,4420,523,5.41,"SbIII",35,"C73",448,3972,7.59464627151052,"EXP 3","GSH1"
"130","D",3,1023,4544,670,4.442,"SbIII",25,"C73",437,4107,6.12985074626866,"EXP 3","GSH1"
"131","C",3,1516,9937,1002,6.555,"SbIII",10,"C73",436,9501,9.48203592814371,"EXP 3","GSH1"
"132","B",3,1809,11435,1184,6.321,"SbIII",0,"C73",358,11077,9.35557432432432,"EXP 3","GSH1"
"133","B",4,2024,11776,1234,5.818,"SbIII",0,"C76",358,11418,9.25283630470016,"EXP 3","GSH1"
"134","C",4,2042,10733,1259,5.256,"SbIII",10,"C76",436,10297,8.17871326449563,"EXP 3","GSH1"
"135","D",4,1594,12671,1092,7.949,"SbIII",25,"C76",437,12234,11.2032967032967,"EXP 3","GSH1"
"136","E",4,816,5364,559,6.574,"SbIII",35,"C76",448,4916,8.79427549194991,"EXP 3","GSH1"
"137","F",4,516,1677,315,3.25,"SbIII",65,"C76",188,1489,4.72698412698413,"EXP 3","GSH1"
"138","G",4,394,542,185,1.376,"SbIII",100,"C76",225,317,1.71351351351351,"EXP 3","GSH1"
"139","G",5,271,345,130,1.273,"SbIII",100,"C44",225,120,0.923076923076923,"EXP 3","GSH1"
"140","F",5,482,1634,300,3.39,"SbIII",65,"C44",188,1446,4.82,"EXP 3","GSH1"
"141","E",5,781,4242,566,5.431,"SbIII",35,"C44",448,3794,6.70318021201413,"EXP 3","GSH1"
"142","D",5,1276,6685,920,5.239,"SbIII",25,"C44",437,6248,6.79130434782609,"EXP 3","GSH1"
"143","C",5,1818,15177,1372,8.348,"SbIII",10,"C44",436,14741,10.7441690962099,"EXP 3","GSH1"
"144","B",5,1922,11407,1305,5.935,"SbIII",0,"C44",358,11049,8.46666666666667,"EXP 3","GSH1"
"145","B",6,1664,8190,984,4.922,"SbIII",0,"REF",358,7832,7.95934959349593,"EXP 3","GSH1"
"146","C",6,1744,14512,1157,8.321,"SbIII",10,"REF",436,14076,12.1659464131374,"EXP 3","GSH1"
"147","D",6,1205,4771,760,3.959,"SbIII",25,"REF",437,4334,5.70263157894737,"EXP 3","GSH1"
"148","E",6,814,4057,553,4.984,"SbIII",35,"REF",448,3609,6.52622061482821,"EXP 3","GSH1"
"149","F",6,567,2577,391,4.545,"SbIII",65,"REF",188,2389,6.10997442455243,"EXP 3","GSH1"
"150","G",6,449,1247,249,2.777,"SbIII",100,"REF",225,1022,4.10441767068273,"EXP 3","GSH1"
"151","G",7,659,1984,389,3.011,"SbIII",100,"C85",225,1759,4.52185089974293,"EXP 3","GSH1"
"152","F",7,757,2804,527,3.704,"SbIII",65,"C85",188,2616,4.96394686907021,"EXP 3","GSH1"
"153","E",7,660,3242,467,4.912,"SbIII",35,"C85",448,2794,5.98286937901499,"EXP 3","GSH1"
"154","D",7,1539,7830,1025,5.088,"SbIII",25,"C85",437,7393,7.21268292682927,"EXP 3","GSH1"
"155","C",7,1968,11484,1227,5.835,"SbIII",10,"C85",436,11048,9.0040749796251,"EXP 3","GSH1"
"156","B",7,1825,9400,1120,5.151,"SbIII",0,"C85",358,9042,8.07321428571429,"EXP 3","GSH1"
"157","B",8,1289,358,230,0.2777,"SbIII",0,"THP-1",358,0,0,"EXP 3","GSH1"
"158","C",8,1793,436,277,0.2432,"SbIII",10,"THP-1",436,0,0,"EXP 3","GSH1"
"159","D",8,717,437,225,0.6095,"SbIII",25,"THP-1",437,0,0,"EXP 3","GSH1"
"160","E",8,548,448,203,0.8175,"SbIII",35,"THP-1",448,0,0,"EXP 3","GSH1"
"161","F",8,487,188,109,0.386,"SbIII",65,"THP-1",188,0,0,"EXP 3","GSH1"
"162","G",8,425,225,117,0.5294,"SbIII",100,"THP-1",225,0,0,"EXP 3","GSH1"
"163","G",9,328,993,187,3.027,"SbIII",100,"C6",225,768,4.10695187165775,"EXP 3","GSH1"
"164","F",9,546,3517,392,6.441,"SbIII",65,"C6",188,3329,8.49234693877551,"EXP 3","GSH1"
"165","E",9,577,4741,443,8.217,"SbIII",35,"C6",448,4293,9.69074492099323,"EXP 3","GSH1"
"166","D",9,945,9165,695,9.698,"SbIII",25,"C6",437,8728,12.558273381295,"EXP 3","GSH1"
"167","C",9,1430,20995,1120,14.68,"SbIII",10,"C6",436,20559,18.35625,"EXP 3","GSH1"
"168","B",9,1297,15448,993,11.91,"SbIII",0,"C6",358,15090,15.1963746223565,"EXP 3","GSH1"
"169","B",10,1533,8470,1042,5.525,"SbIII",0,"C67",358,8112,7.78502879078695,"EXP 3","GSH1"
"170","C",10,1712,9444,1102,5.516,"SbIII",10,"C67",436,9008,8.17422867513612,"EXP 3","GSH1"
"171","D",10,1133,4801,770,4.237,"SbIII",25,"C67",437,4364,5.66753246753247,"EXP 3","GSH1"
