"pop","Cntrl_ama_per_cell","X","row","column","n_celulas","n_amas.x","n_cels_infec","mean_ama_cel","composto","conc","n_amas.y","corrected_ama","ama_per_cell","experiment","gene","viability","mean_value"
"C7",30.7439516129032,23,"C",5,643,14107,560,21.94,"ANF","0.15",215,13892,24.8071428571429,"EXP 1","GSH1",80.6895065718597,54.1075704791361
"C7",30.7439516129032,24,"B",5,593,15624,496,26.35,"ANF","0",375,15249,30.7439516129032,"EXP 1","GSH1",100,100
"C73",12.3239875389408,43,"G",9,733,601,287,0.8199,"ANF","5",104,497,1.73170731707317,"EXP 1","GSH1",14.0515179165947,14.2110140858167
"C73",12.3239875389408,44,"F",9,820,1127,389,1.374,"ANF","3",98,1029,2.6452442159383,"EXP 1","GSH1",21.4641909331697,15.1434602200462
"C73",12.3239875389408,45,"E",9,673,2071,398,3.077,"ANF","1.2",161,1910,4.79899497487437,"EXP 1","GSH1",38.940277728379,22.0958906234408
"C73",12.3239875389408,46,"D",9,663,2020,362,3.047,"ANF","0.62",147,1873,5.17403314917127,"EXP 1","GSH1",41.9834337938316,28.0661110857118
"C73",12.3239875389408,47,"C",9,559,3746,387,6.701,"ANF","0.15",215,3531,9.12403100775194,"EXP 1","GSH1",74.0347308768548,47.4634826229472
"C73",12.3239875389408,48,"B",9,527,4331,321,8.218,"ANF","0",375,3956,12.3239875389408,"EXP 1","GSH1",100,100
"C76",19.2609400324149,253,"B",4,777,12255,617,19.86,"ANF","0",371,11884,19.2609400324149,"EXP 1","PGPA",100,100
"C76",19.2609400324149,254,"C",4,1849,14620,1265,11.56,"ANF","0.15",1139,13481,10.6569169960474,"EXP 1","PGPA",55.329163468203,56.3608577725607
"C76",19.2609400324149,255,"D",4,2222,5522,870,6.347,"ANF","0.62",337,5185,5.95977011494253,"EXP 1","PGPA",30.9422598529076,52.7092903172842
"C76",19.2609400324149,256,"E",4,2145,7592,867,8.757,"ANF","1.2",383,7209,8.31487889273356,"EXP 1","PGPA",43.1696421812236,45.9023643483449
"C76",19.2609400324149,257,"F",4,2821,10093,1232,8.192,"ANF","3",405,9688,7.86363636363636,"EXP 1","PGPA",40.8268565833359,33.9572185387116
"C76",19.2609400324149,258,"G",4,2850,7084,1145,6.187,"ANF","5",409,6675,5.82969432314411,"EXP 1","PGPA",30.2669252556371,20.7506006088576
"C85",29.0815533980583,55,"G",11,684,2779,501,4.063,"ANF","5",104,2675,5.33932135728543,"EXP 1","GSH1",18.3598217199839,15.1011454383485
"C85",29.0815533980583,56,"F",11,825,2589,521,3.138,"ANF","3",98,2491,4.78119001919386,"EXP 1","GSH1",16.4406280288765,11.5452616417155
"C85",29.0815533980583,57,"E",11,743,4249,570,5.719,"ANF","1.2",161,4088,7.1719298245614,"EXP 1","GSH1",24.6614399389004,32.0187244433508
"C85",29.0815533980583,58,"D",11,700,5120,535,7.314,"ANF","0.62",147,4973,9.29532710280374,"EXP 1","GSH1",31.9629662679036,29.2257432298412
"C85",29.0815533980583,59,"C",11,603,7611,459,12.62,"ANF","0.15",215,7396,16.1132897603486,"EXP 1","GSH1",55.4072526312313,41.321602511741
"C85",29.0815533980583,60,"B",11,668,15352,515,22.98,"ANF","0",375,14977,29.0815533980583,"EXP 1","GSH1",100,100
"REF",11.9716634679265,7,"G",3,730,2667,534,3.653,"ANF","5",104,2563,4.79962546816479,"EXP 1","GSH1",40.0915501928664,22.2940124172225
"REF",11.9716634679265,8,"F",3,861,1977,477,2.296,"ANF","3",98,1879,3.93920335429769,"EXP 1","GSH1",32.9043943212344,33.9514017102264
"REF",11.9716634679265,9,"E",3,583,2441,390,4.187,"ANF","1.2",161,2280,5.84615384615385,"EXP 1","GSH1",48.8332624936911,40.6714986545115
"REF",11.9716634679265,10,"D",3,924,4782,613,5.175,"ANF","0.62",147,4635,7.56117455138662,"EXP 1","GSH1",63.1589300153978,53.9505061893108
