Display	Use for Z'	Row	Column	Timepoint	Celulas fora da borda - Number of Objects	Ama - Number of Objects	Celulas Infectadas - Number of Objects	Formula Output 2	Number of Analyzed Fields	Time [s]	Compound	Concentration	Cell Type	Cell Count
True		B	2	0	69	4	2	0.05797	13	0	x	0	THP-1	
True		C	2	0	109	3	2	0.02752	13	0	x	10	THP-1	
True		D	2	0	75	6	3	0.08	13	0	x	25	THP-1	
True		E	2	0	47	7	4	0.1489	13	0	x	35	THP-1	
True		F	2	0	77	1	1	0.01299	13	0	x	65	THP-1	
True		G	2	0	37	3	3	0.08108	13	0	x	100	THP-1	
True		G	3	0	38	15	9	0.3947	13	0	SbIII	100	C76	
True		F	3	0	57	68	23	1.193	13	0	SbIII	65	C76	
True		E	3	0	35	69	15	1.971	13	0	SbIII	35	C76	
True		D	3	0	53	129	20	2.434	13	0	SbIII	25	C76	
True		C	3	0	105	564	65	5.371	13	0	SbIII	10	C76	
True		B	3	0	221	2126	167	9.62	13	0	SbIII	0	C76	
True		B	4	0	216	1070	130	4.954	13	0	SbIII	0	C44	
True		C	4	0	118	424	51	3.593	13	0	SbIII	10	C44	
True		D	4	0	68	129	32	1.897	13	0	SbIII	25	C44	
True		E	4	0	91	181	45	1.989	13	0	SbIII	35	C44	
True		F	4	0	62	33	19	0.5323	13	0	SbIII	65	C44	
True		G	4	0	31	15	10	0.4839	13	0	SbIII	100	C44	
True		G	5	0	43	24	14	0.5581	13	0	SbIII	100	C6	
True		F	5	0	31	20	6	0.6452	13	0	SbIII	65	C6	
True		E	5	0	40	110	23	2.75	13	0	SbIII	35	C6	
True		D	5	0	90	309	55	3.433	13	0	SbIII	25	C6	
True		C	5	0	173	2081	139	12.03	13	0	SbIII	10	C6	
True		B	5	0	221	3574	186	16.17	13	0	SbIII	0	C6	
True		B	6	0	153	554	84	3.621	13	0	SbIII	0	C58	
True		C	6	0	114	507	74	4.447	13	0	SbIII	10	C58	
True		D	6	0	56	20	11	0.3571	13	0	SbIII	25	C58	
True		E	6	0	79	94	30	1.19	13	0	SbIII	35	C58	
True		F	6	0	58	45	14	0.7759	13	0	SbIII	65	C58	
True		G	6	0	25	14	6	0.56	13	0	SbIII	100	C58	
True		G	7	0	40	12	7	0.3	13	0	SbIII	100	REF	
True		F	7	0	80	47	20	0.5875	13	0	SbIII	65	REF	
True		E	7	0	67	61	20	0.9104	13	0	SbIII	35	REF	
True		D	7	0	95	264	51	2.779	13	0	SbIII	25	REF	
True		C	7	0	133	500	87	3.759	13	0	SbIII	10	REF	
True		B	7	0	205	1140	135	5.561	13	0	SbIII	0	REF	
True		B	8	0	221	1347	152	6.095	13	0	SbIII	0	C67	
True		C	8	0	148	1123	104	7.588	13	0	SbIII	10	C67	
True		D	8	0	33	114	17	3.455	13	0	SbIII	25	C67	
True		E	8	0	65	169	35	2.6	13	0	SbIII	35	C67	
True		F	8	0	45	17	7	0.3778	13	0	SbIII	65	C67	
True		G	8	0	78	37	19	0.4744	13	0	SbIII	100	C67	
True		G	9	0	56	36	13	0.6429	13	0	SbIII	100	C7	
True		F	9	0	66	138	31	2.091	13	0	SbIII	65	C7	
True		E	9	0	94	239	51	2.543	13	0	SbIII	35	C7	
True		D	9	0	156	1099	112	7.045	13	0	SbIII	25	C7	
True		C	9	0	176	1526	124	8.67	13	0	SbIII	10	C7	
True		B	9	0	294	2454	204	8.347	13	0	SbIII	0	C7	
True		B	10	0	231	1970	168	8.528	13	0	SbIII	0	C73	
True		C	10	0	115	591	83	5.139	13	0	SbIII	10	C73	
True		D	10	0	108	483	72	4.472	13	0	SbIII	25	C73	
True		E	10	0	98	255	49	2.602	13	0	SbIII	35	C73	
True		F	10	0	62	99	29	1.597	13	0	SbIII	65	C73	
True		G	10	0	49	76	17	1.551	13	0	SbIII	100	C73	
True		G	11	0	59	101	25	1.712	13	0	SbIII	100	C85	
True		F	11	0	103	669	62	6.495	13	0	SbIII	65	C85	
True		E	11	0	105	1139	72	10.85	13	0	SbIII	35	C85	
True		D	11	0	189	2219	133	11.74	13	0	SbIII	25	C85	
True		C	11	0	213	2689	162	12.62	13	0	SbIII	10	C85	
True		B	11	0	237	7208	209	30.41	13	0	SbIII	0	C85	
