Display	Use for Z'	Row	Column	Timepoint	Celulas fora da borda - Number of Objects	Ama - Number of Objects	Celulas Infectadas - Number of Objects	Formula Output 2	Number of Analyzed Fields	Time [s]	Compound	Concentration	Cell Type	Cell Count
True		B	2	0	1217	7434	896	6.108	13	0	SbIII	0	C67	
True		C	2	0	1163	7303	807	6.279	13	0	SbIII	1.6	C67	
True		D	2	0	613	2338	379	3.814	13	0	SbIII	3.2	C67	
True		E	2	0	126	83	37	0.6587	13	0	SbIII	10	C67	
True		F	2	0	156	112	64	0.7179	13	0	SbIII	35	C67	
True		G	2	0	305	364	152	1.193	13	0	SbIII	100	C67	
True		G	3	0	69	69	28	1	13	0	SbIII	100	C6	
True		F	3	0	63	24	18	0.381	13	0	SbIII	35	C6	
True		E	3	0	106	91	41	0.8585	13	0	SbIII	10	C6	
True		D	3	0	413	1910	255	4.625	13	0	SbIII	3.2	C6	
True		C	3	0	1556	7528	981	4.838	13	0	SbIII	1.6	C6	
True		B	3	0	1287	4766	759	3.703	13	0	SbIII	0	C6	
True		B	4	0	361	7	7	0.01939	13	0	SbIII	0	THP-1	
True		C	4	0	432	9	7	0.02083	13	0	SbIII	1.6	THP-1	
True		D	4	0	211	10	7	0.04739	13	0	SbIII	3.2	THP-1	
True		E	4	0	71	2	2	0.02817	13	0	SbIII	10	THP-1	
True		F	4	0	110	12	12	0.1091	13	0	SbIII	35	THP-1	
True		G	4	0	198	19	16	0.09596	13	0	SbIII	100	THP-1	
True		G	5	0	285	708	168	2.484	13	0	SbIII	100	REF	
True		F	5	0	205	322	96	1.571	13	0	SbIII	35	REF	
True		E	5	0	287	727	130	2.533	13	0	SbIII	10	REF	
True		D	5	0	869	4148	591	4.773	13	0	SbIII	3.2	REF	
True		C	5	0	1283	8468	901	6.6	13	0	SbIII	1.6	REF	
True		B	5	0	1289	7472	863	5.797	13	0	SbIII	0	REF	
True		B	6	0	1826	9046	1185	4.954	13	0	SbIII	0	C85	
True		C	6	0	1849	13769	1354	7.447	13	0	SbIII	1.6	C85	
True		D	6	0	465	1757	255	3.778	13	0	SbIII	3.2	C85	
True		E	6	0	156	245	64	1.571	13	0	SbIII	10	C85	
True		F	6	0	97	110	26	1.134	13	0	SbIII	35	C85	
True		G	6	0	176	113	56	0.642	13	0	SbIII	100	C85	
True		G	7	0	104	48	31	0.4615	13	0	SbIII	100	C73	
True		F	7	0	71	48	19	0.6761	13	0	SbIII	35	C73	
True		E	7	0	107	207	49	1.935	13	0	SbIII	10	C73	
True		D	7	0	424	1753	279	4.134	13	0	SbIII	3.2	C73	
True		C	7	0	1708	18340	1386	10.74	13	0	SbIII	1.6	C73	
True		B	7	0	1658	8728	1161	5.264	13	0	SbIII	0	C73	
True		B	8	0	1201	4738	746	3.945	13	0	SbIII	0	C76	
True		C	8	0	1441	12680	1064	8.799	13	0	SbIII	1.6	C76	
True		D	8	0	618	5473	441	8.856	13	0	SbIII	3.2	C76	
True		E	8	0	437	3166	295	7.245	13	0	SbIII	10	C76	
True		F	8	0	203	423	102	2.084	13	0	SbIII	35	C76	
True		G	8	0	384	569	191	1.482	13	0	SbIII	100	C76	
True		G	9	0	146	90	49	0.6164	13	0	SbIII	100	C58	
True		F	9	0	57	29	16	0.5088	13	0	SbIII	35	C58	
True		E	9	0	211	401	100	1.9	13	0	SbIII	10	C58	
True		D	9	0	425	1919	251	4.515	13	0	SbIII	3.2	C58	
True		C	9	0	1018	6502	711	6.387	13	0	SbIII	1.6	C58	
True		B	9	0	833	4447	569	5.339	13	0	SbIII	0	C58	
True		B	10	0	1545	6967	1018	4.509	13	0	SbIII	0	C7	
True		C	10	0	1691	12410	1234	7.339	13	0	SbIII	1.6	C7	
True		D	10	0	625	3714	402	5.942	13	0	SbIII	3.2	C7	
True		E	10	0	259	832	148	3.212	13	0	SbIII	10	C7	
True		F	10	0	55	51	17	0.9273	13	0	SbIII	35	C7	
True		G	10	0	112	70	44	0.625	13	0	SbIII	100	C7	
True		G	11	0	65	21	14	0.3231	13	0	SbIII	100	C44	
True		F	11	0	79	80	28	1.013	13	0	SbIII	35	C44	
True		E	11	0	96	274	53	2.854	13	0	SbIII	10	C44	
True		D	11	0	94	334	53	3.553	13	0	SbIII	3.2	C44	
True		C	11	0	1394	12837	1083	9.209	13	0	SbIII	1.6	C44	
True		B	11	0	1168	7596	855	6.503	13	0	SbIII	0	C44	
